Pair	jaccard	forbes	tetra
BCP_ENCSR000ECK_HeLa-S3_MAFK(TFsFromGheorghe)BCP_ENCSR541WQI_A549_MAFK (TFsFromGheorghe)	30892	23662	30682
BCP_ENCSR000BKD_H1-hESC_YY1(TFsFromGheorghe)BCP_ENCSR000EYV_GM12878_JUND (TFsFromGheorghe)	473	220	210
MACS_ENCSR000BSR_MCF-7_CEBPB(TFsFromGheorghe)MACS_ENCSR000EHE_K562_CEBPB (TFsFromGheorghe)	35694	23692	35105
MACS_ENCSR000EBS_H1-hESC_MAFK(TFsFromGheorghe)MACS_ENCSR000EZK_HeLa-S3_STAT1 (TFsFromGheorghe)	15959	7401	9172
BCP_ENCSR000BJA_H1-hESC_EGR1(TFsFromGheorghe)MACS_ENCSR000EEE_HepG2_CEBPB (TFsFromGheorghe)	7412	2729	4532
MACS_ENCSR000BSW_Ishikawa_TEAD4(TFsFromGheorghe)MACS_ENCSR000EUM_GM12878_YY1 (TFsFromGheorghe)	5559	14295	13443
BCP_ENCSR177HDZ_HepG2_FOS(TFsFromGheorghe)MACS_ENCSR000BMQ_GM12878_EGR1 (TFsFromGheorghe)	29752	28840	28225
BCP_ENCSR000BUG_HCT116_ATF3(TFsFromGheorghe)MACS_ENCSR000BSR_MCF-7_CEBPB (TFsFromGheorghe)	12368	26514	27404
MACS_ENCSR000DOG_K562_ATF3(TFsFromGheorghe)MACS_ENCSR000EGC_K562_RCOR1 (TFsFromGheorghe)	12016	29897	21925
BCP_ENCSR000EHE_K562_CEBPB(TFsFromGheorghe)MACS_ENCSR000EYV_GM12878_JUND (TFsFromGheorghe)	4520	2287	2014
BCP_ENCSR000FAU_K562_STAT1(TFsFromGheorghe)MACS_ENCSR000EHE_K562_CEBPB (TFsFromGheorghe)	2892	17642	15715
BCP_ENCSR000AQK_H1-hESC_CHD1(TFsFromGheorghe)BCP_ENCSR000BRF_A549_JUND (TFsFromGheorghe)	20956	12741	14603
BCP_ENCSR000BUQ_SK-N-SH_TEAD4(TFsFromGheorghe)BCP_ENCSR994YLZ_liver_YY1 (TFsFromGheorghe)	9642	4894	4263
BCP_ENCSR000EBS_H1-hESC_MAFK(TFsFromGheorghe)BCP_ENCSR494TDU_K562_NRF1 (TFsFromGheorghe)	8890	6145	4944
BCP_ENCSR000BRK_K562_TEAD4(TFsFromGheorghe)BCP_ENCSR000DOP_MCF_10A_FOS (TFsFromGheorghe)	21494	7708	12533
MACS_ENCSR000EUM_GM12878_YY1(TFsFromGheorghe)MACS_ENCSR135ANT_MCF-7_NRF1 (TFsFromGheorghe)	8887	22298	14120
BCP_ENCSR000DOG_K562_ATF3(TFsFromGheorghe)MACS_ENCSR000BUO_MCF-7_TEAD4 (TFsFromGheorghe)	1012	8293	2972
MACS_ENCSR000BLB_Ishikawa_NR3C1(TFsFromGheorghe)MACS_ENCSR000EHH_K562_NRF1 (TFsFromGheorghe)	30420	34105	29976
BCP_ENCSR000BKJ_GM12891_YY1(TFsFromGheorghe)BCP_ENCSR000ECK_HeLa-S3_MAFK (TFsFromGheorghe)	19076	15086	14466
MACS_ENCSR000BMB_GM12878_ELF1(TFsFromGheorghe)MACS_ENCSR000BSY_Ishikawa_YY1 (TFsFromGheorghe)	35724	24079	35357
BCP_ENCSR000BID_HepG2_BHLHE40(TFsFromGheorghe)BCP_ENCSR517QHU_GM12878_BHLHE40 (TFsFromGheorghe)	14132	26489	22233
MACS_ENCSR000BSY_Ishikawa_YY1(TFsFromGheorghe)MACS_ENCSR000EGC_K562_RCOR1 (TFsFromGheorghe)	31919	22821	29566
BCP_ENCSR392EAA_HeLa-S3_CHD1(TFsFromGheorghe)BCP_ENCSR398YBM_A549_CHD1 (TFsFromGheorghe)	33338	34169	32944
MACS_ENCSR000BSM_SK-N-SH_YY1(TFsFromGheorghe)MACS_ENCSR000BVH_HCT116_ELF1 (TFsFromGheorghe)	32105	33441	34005
BCP_ENCSR000BMH_K562_YY1(TFsFromGheorghe)BCP_ENCSR177HDZ_HepG2_FOS (TFsFromGheorghe)	23100	22509	20288
BCP_ENCSR000EBU_H1-hESC_CHD1(TFsFromGheorghe)MACS_ENCSR000DYJ_A549_BHLHE40 (TFsFromGheorghe)	19877	31467	21075
MACS_ENCSR000BLB_Ishikawa_NR3C1(TFsFromGheorghe)MACS_ENCSR000DZJ_GM12878_BHLHE40 (TFsFromGheorghe)	31195	31482	30184
BCP_ENCSR000BGK_HepG2_JUND(TFsFromGheorghe)MACS_ENCSR000BVJ_HCT116_TEAD4 (TFsFromGheorghe)	24799	26575	23589
MACS_ENCSR000BSY_Ishikawa_YY1(TFsFromGheorghe)MACS_ENCSR000EVU_endothelial_cell_of_umbilical_vein_FOS (TFsFromGheorghe)	27846	7092	16974
BCP_ENCSR000DZC_GM12878_RCOR1(TFsFromGheorghe)BCP_ENCSR000EFC_IMR-90_CHD1 (TFsFromGheorghe)	20307	22558	18046
BCP_ENCSR000BVO_T47D_JUND(TFsFromGheorghe)BCP_ENCSR904YPP_GM12878_NR3C1 (TFsFromGheorghe)	8239	11456	6560
BCP_ENCSR000DZM_GM12878_STAT1(TFsFromGheorghe)MACS_ENCSR000DZC_GM12878_RCOR1 (TFsFromGheorghe)	1413	23045	5074
BCP_ENCSR681NOM_GM12878_CEBPB(TFsFromGheorghe)MACS_ENCSR000EEV_HepG2_NR3C1 (TFsFromGheorghe)	11635	35044	20128
BCP_ENCSR000EZK_HeLa-S3_STAT1(TFsFromGheorghe)MACS_ENCSR000EWF_K562_YY1 (TFsFromGheorghe)	11051	8776	7026
BCP_ENCSR000EEH_HepG2_NRF1(TFsFromGheorghe)BCP_ENCSR837EYC_K562_NRF1 (TFsFromGheorghe)	30093	35661	34552
BCP_ENCSR000EHZ_SK-N-SH_NRF1(TFsFromGheorghe)MACS_ENCSR000AQK_H1-hESC_CHD1 (TFsFromGheorghe)	11513	12461	15267
MACS_ENCSR000BGK_HepG2_JUND(TFsFromGheorghe)MACS_ENCSR000BSW_Ishikawa_TEAD4 (TFsFromGheorghe)	34706	19939	31863
MACS_ENCSR000DYV_GM12878_MAFK(TFsFromGheorghe)MACS_ENCSR000EEE_HepG2_CEBPB (TFsFromGheorghe)	611	417	473
MACS_ENCSR000EEV_HepG2_NR3C1(TFsFromGheorghe)MACS_ENCSR541WQI_A549_MAFK (TFsFromGheorghe)	723	6568	7282
BCP_ENCSR000DON_MCF_10A_FOS(TFsFromGheorghe)MACS_ENCSR000BSS_MCF-7_ELF1 (TFsFromGheorghe)	23957	8934	14610
BCP_ENCSR000BJT_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR853ADA_HepG2_NRF1 (TFsFromGheorghe)	29587	30863	31704
BCP_ENCSR000BKD_H1-hESC_YY1(TFsFromGheorghe)BCP_ENCSR000BNP_GM12878_YY1 (TFsFromGheorghe)	34274	26661	32209
BCP_ENCSR000BLB_Ishikawa_NR3C1(TFsFromGheorghe)MACS_ENCSR681NOM_GM12878_CEBPB (TFsFromGheorghe)	21243	32820	22402
BCP_ENCSR000EDA_HeLa-S3_CEBPB(TFsFromGheorghe)MACS_ENCSR000BIO_A549_NR3C1 (TFsFromGheorghe)	932	15051	10049
BCP_ENCSR000BTT_Ishikawa_CEBPB(TFsFromGheorghe)MACS_ENCSR000BSY_Ishikawa_YY1 (TFsFromGheorghe)	26952	20030	24606
MACS_ENCSR000BPM_A549_YY1(TFsFromGheorghe)MACS_ENCSR205FOW_liver_ATF3 (TFsFromGheorghe)	28364	13904	21609
BCP_ENCSR000BRG_GM12878_EGR1(TFsFromGheorghe)MACS_ENCSR000BJT_A549_NR3C1 (TFsFromGheorghe)	26830	35651	33243
BCP_ENCSR332EYT_GM12878_STAT1(TFsFromGheorghe)MACS_ENCSR000BRY_H1-hESC_TEAD4 (TFsFromGheorghe)	15591	11028	14626
BCP_ENCSR000BSD_HCT116_CEBPB(TFsFromGheorghe)BCP_ENCSR000BUB_A549_CEBPB (TFsFromGheorghe)	32927	33563	32854
BCP_ENCSR000EDZ_HepG2_MAFK(TFsFromGheorghe)MACS_ENCSR000BTT_Ishikawa_CEBPB (TFsFromGheorghe)	11139	2133	2892
BCP_ENCSR000BNP_GM12878_YY1(TFsFromGheorghe)BCP_ENCSR392EAA_HeLa-S3_CHD1 (TFsFromGheorghe)	30627	25335	27814
