group	size	logsize	score
CHD1_CHD1	6709518	30.028839810190494	130.4
CHD1_BHLHE40	3194429	27.613656234953865	24.39
CHD1_ATF3	3202756	27.63751310322315	19.12
CHD1_ATF3	3444595	28.159082571248426	18.11
CHD1_ATF3	3194409	27.61359824427295	31.48
CHD1_ATF3	4973623	29.431519352929875	25.9
CHD1_ATF3	5125398	29.500536171673986	63.7
CHD1_CEBPB	5081841	29.48121197386606	12.55
CHD1_CEBPB	6299054	29.916411801075032	12.38
CHD1_CEBPB	3218546	27.68124575489925	2.858
CHD1_CEBPB	4225213	28.997123263520756	3.375
CHD1_CEBPB	7085296	30.121740058847344	4.66
CHD1_CEBPB	5257881	29.557117079546373	9.137
CHD1_CEBPB	6423457	29.951840602344944	5.382999999999999
CHD1_ATF3	3120185	27.371244789382295	3.7880000000000003
CHD1_ATF3	2940512	26.281017746423515	15.21
CHD1_CEBPB	9793015	30.615980235678467	3.3310000000000004
CHD1_BHLHE40	3217972	27.67968903043151	45.42
CHD1_CHD1	4136328	28.93032958932814	153.3
CHD1_BHLHE40	7163132	30.139949184932725	35.45
CHD1_CHD1	3770664	28.596021016923743	184.4
CHD1_CEBPB	5600128	29.689993451174967	9.24
CHD1_CEBPB	12554189	30.950782751153234	9.967
CHD1_BHLHE40	5755744	29.74502642857326	46.84
CHD1_CEBPB	11247927	30.806217429819696	3.721
CHD1_CEBPB	5770963	29.750249485473105	14.55
CHD1_CHD1	4708574	29.298236439564818	125.8
CHD1_CEBPB	16051412	31.258536230643244	3.512
CHD1_BHLHE40	8741172	30.451711007946106	54.76
CHD1_CEBPB	10214390	30.674896516165692	8.41
CHD1_ATF3	4699326	29.293249409070636	5.2139999999999995
CHD1_CHD1	5484557	29.6470684415381	151.1
CHD1_CHD1	4285928	29.04031170381209	178.6
CHD1_ATF3	5373548	29.60402698896289	3.23
CHD1_BHLHE40	8585516	30.424935906477955	31.49
CHD1_CEBPB	3198165	27.624430330483225	34.62
CHD1_CHD1	9431420	30.562498316480365	339.8
CHD1_CHD1	19132630	31.468304681594454	99.32
CHD1_ATF3	3597509	28.387788892021234	25.99
CHD1_ATF3	4238172	29.00649926033052	27.75
CHD1_ATF3	6277011	29.91000112841877	31.96
CHD1_ATF3	8562745	30.420958152241468	61.21
CHD1_CEBPB	9229267	30.531303223395472	14.69
CHD1_CEBPB	3568171	28.347775590265123	3.199
CHD1_CEBPB	6988061	30.098516734098183	4.227
CHD1_CEBPB	15891705	31.24636516695937	6.381
CHD1_CEBPB	8321011	30.377725522672034	10.72
CHD1_CEBPB	14606373	31.142612233645586	7.979
CHD1_ATF3	3387801	28.058773014902126	8.277000000000001
CHD1_ATF3	3043980	27.040566214819368	38.09
CHD1_CEBPB	21849942	31.622637637296258	4.8580000000000005
CHD1_BHLHE40	3414423	28.1070477220987	50.4
CHD1_CHD1	3049187	27.066992853216952	132.2
CHD1_BHLHE40	6290275	29.913863563832052	39.52
CHD1_CHD1	4686598	29.28634484628097	166.2
CHD1_CEBPB	8488163	30.407817886094463	11.72
CHD1_CEBPB	34366046	32.128688825446204	15.12
CHD1_BHLHE40	11109133	30.789553086933466	52.71
CHD1_CEBPB	25863688	31.814286620991936	5.906000000000001
CHD1_CEBPB	9087294	30.508798112884737	16.09
CHD1_CHD1	10727488	30.74224526155023	107.0
CHD1_CEBPB	42901875	32.3683643637436	4.956
CHD1_BHLHE40	13110102	31.006485293850126	66.0
CHD1_CEBPB	17341767	31.351790002671727	12.31
CHD1_ATF3	8234139	30.36172087452224	8.533
CHD1_CHD1	13775138	31.06928613237543	111.6
CHD1_CHD1	8986322	30.492478442278156	143.5
CHD1_ATF3	12622361	30.95778286465641	5.34
CHD1_BHLHE40	25465564	31.796836148389133	49.26
CHD1_CEBPB	3504389	28.254832793921647	35.46
CHD1_CHD1	6709518	30.028839810190494	130.4
CHD1_BHLHE40	4204875	27.91716258119878	12.79
CHD1_ATF3	4213202	27.941019449468065	7.271
CHD1_ATF3	4455041	28.462588917493342	9.978
CHD1_ATF3	4204855	27.917104590517866	13.55
CHD1_ATF3	5984069	29.73502569917479	13.13
CHD1_ATF3	6135844	29.8040425179189	40.73
CHD1_CEBPB	6092287	29.784718320110976	9.812999999999999
CHD1_CEBPB	7309500	30.219918147319948	10.99
CHD1_CEBPB	4228992	27.984752101144167	3.998
CHD1_CEBPB	5235659	29.30062960976567	4.13
CHD1_CEBPB	8095742	30.42524640509226	5.324
CHD1_CEBPB	6268327	29.86062342579129	8.583
CHD1_CEBPB	7433903	30.25534694858986	6.481
CHD1_ATF3	4130631	27.67475113562721	1.824
CHD1_ATF3	3950958	26.58452409266843	2.26
CHD1_CEBPB	10803461	30.919486581923383	4.018
CHD1_BHLHE40	4228418	27.983195376676427	24.15
CHD1_CHD1	5146774	29.233835935573055	92.49
CHD1_BHLHE40	8173578	30.44345553117764	21.47
CHD1_CHD1	4781110	28.89952736316866	194.0
CHD1_CEBPB	6610574	29.993499797419883	9.843
CHD1_CEBPB	13564635	31.25428909739815	8.985
CHD1_BHLHE40	6766190	30.048532774818177	25.63
CHD1_CEBPB	12258373	31.109723776064612	3.592
CHD1_CEBPB	6781409	30.05375583171802	10.79
CHD1_CHD1	5719020	29.601742785809734	85.48
CHD1_CEBPB	17061858	31.56204257688816	3.6719999999999997
CHD1_BHLHE40	9751618	30.75521735419102	25.3
CHD1_CEBPB	11224836	30.978402862410608	6.646
CHD1_ATF3	5709772	29.596755755315552	6.276
CHD1_CHD1	6495003	29.950574787783015	93.87
CHD1_CHD1	5296374	29.343818050057006	117.3
CHD1_ATF3	6383994	29.907533335207805	3.7939999999999996
CHD1_BHLHE40	9595962	30.72844225272287	19.09
CHD1_CEBPB	4208611	27.92793667672814	19.78
CHD1_CHD1	10441866	30.86600466272528	132.7
CHD1_CHD1	20143076	31.77181102783937	181.4
CHD1_ATF3	4607955	28.69129523826615	11.9
CHD1_ATF3	5248618	29.310005606575437	14.87
CHD1_ATF3	7287457	30.213507474663686	16.17
CHD1_ATF3	9573191	30.724464498486384	40.58
CHD1_CEBPB	10239713	30.834809569640388	10.58
CHD1_CEBPB	4578617	28.65128193651004	5.236000000000001
CHD1_CEBPB	7998507	30.4020230803431	4.3839999999999995
CHD1_CEBPB	16902151	31.549871513204288	6.843999999999999
CHD1_CEBPB	9331457	30.68123186891695	10.77
CHD1_CEBPB	15616819	31.446118579890502	8.257
CHD1_ATF3	4398247	28.362279361147042	9.37
CHD1_ATF3	4054426	27.344072561064284	10.8
CHD1_CEBPB	22860388	31.926143983541174	5.096
CHD1_BHLHE40	4424869	28.410554068343615	23.12
CHD1_CHD1	4059633	27.370499199461868	85.63
CHD1_BHLHE40	7300721	30.217369910076968	21.58
CHD1_CHD1	5697044	29.589851192525884	175.6
CHD1_CEBPB	9498609	30.71132423233938	12.71
CHD1_CEBPB	35376492	32.43219517169112	12.22
CHD1_BHLHE40	12119579	31.093059433178382	27.32
CHD1_CEBPB	26874134	32.11779296723685	4.615
CHD1_CEBPB	10097740	30.812304459129653	11.06
CHD1_CHD1	11737934	31.045751607795147	76.68
CHD1_CEBPB	43912321	32.67187070998852	4.8660000000000005
CHD1_BHLHE40	14120548	31.309991640095042	28.92
CHD1_CEBPB	18352213	31.655296348916643	8.987
CHD1_ATF3	9244585	30.665227220767157	8.724
CHD1_CHD1	14785584	31.372792478620347	69.0
CHD1_CHD1	9996768	30.79598478852307	99.31
CHD1_ATF3	13632807	31.261289210901325	5.352
CHD1_BHLHE40	26476010	32.10034249463405	29.71
CHD1_CEBPB	4514835	28.558339140166563	21.11
JUND_CHD1	6328741	29.924981109349304	29.82
JUND_CHD1	7339187	30.22848745559422	18.95
