group	size	logsize	score
CHD1_CHD1	6709518	30.028839810190494	0.07434
CHD1_BHLHE40	3194429	27.613656234953865	0.002435
CHD1_ATF3	3202756	27.63751310322315	0.00195
CHD1_ATF3	3444595	28.159082571248426	0.002895
CHD1_ATF3	3194409	27.61359824427295	0.003146
CHD1_ATF3	4973623	29.431519352929875	0.01031
CHD1_ATF3	5125398	29.500536171673986	0.0268
CHD1_CEBPB	5081841	29.48121197386606	0.005113
CHD1_CEBPB	6299054	29.916411801075032	0.006293
CHD1_CEBPB	3218546	27.68124575489925	0.0003024
CHD1_CEBPB	4225213	28.997123263520756	0.001015
CHD1_CEBPB	7085296	30.121740058847344	0.002577
CHD1_CEBPB	5257881	29.557117079546373	0.0038770000000000002
CHD1_CEBPB	6423457	29.951840602344944	0.002771
CHD1_ATF3	3120185	27.371244789382295	0.0003033
CHD1_ATF3	2940512	26.281017746423515	0.0004345
CHD1_CEBPB	9793015	30.615980235678467	0.002184
CHD1_BHLHE40	3217972	27.67968903043151	0.004821
CHD1_CHD1	4136328	28.93032958932814	0.04602
CHD1_BHLHE40	7163132	30.139949184932725	0.02009
CHD1_CHD1	3770664	28.596021016923743	0.04336
CHD1_CEBPB	5600128	29.689993451174967	0.0042049999999999995
CHD1_CEBPB	12554189	30.950782751153234	0.00716
CHD1_BHLHE40	5755744	29.74502642857326	0.02231
CHD1_CEBPB	11247927	30.806217429819696	0.00257
CHD1_CEBPB	5770963	29.750249485473105	0.006845
CHD1_CHD1	4708574	29.298236439564818	0.04803
CHD1_CEBPB	16051412	31.258536230643244	0.002672
CHD1_BHLHE40	8741172	30.451711007946106	0.03525
CHD1_CEBPB	10214390	30.674896516165692	0.005627
CHD1_ATF3	4699326	29.293249409070636	0.0018969999999999998
CHD1_CHD1	5484557	29.6470684415381	0.07178
CHD1_CHD1	4285928	29.04031170381209	0.058460000000000005
CHD1_ATF3	5373548	29.60402698896289	0.001402
CHD1_BHLHE40	8585516	30.424935906477955	0.0198
CHD1_CEBPB	3198165	27.624430330483225	0.0034950000000000003
CHD1_CHD1	9431420	30.562498316480365	0.2801
CHD1_CHD1	19132630	31.468304681594454	0.08459
CHD1_ATF3	3597509	28.387788892021234	0.0050100000000000006
CHD1_ATF3	4238172	29.00649926033052	0.008461
CHD1_ATF3	6277011	29.91000112841877	0.01637
CHD1_ATF3	8562745	30.420958152241468	0.03916
CHD1_CEBPB	9229267	30.531303223395472	0.009461
CHD1_CEBPB	3568171	28.347775590265123	0.0005947999999999999
CHD1_CEBPB	6988061	30.098516734098183	0.002315
CHD1_CEBPB	15891705	31.24636516695937	0.004856
CHD1_CEBPB	8321011	30.377725522672034	0.006547
CHD1_CEBPB	14606373	31.142612233645586	0.005961
CHD1_ATF3	3387801	28.058773014902126	0.001215
CHD1_ATF3	3043980	27.040566214819368	0.00225
CHD1_CEBPB	21849942	31.622637637296258	0.003913000000000001
CHD1_BHLHE40	3414423	28.1070477220987	0.007753
CHD1_CHD1	3049187	27.066992853216952	0.008054
CHD1_BHLHE40	6290275	29.913863563832052	0.02035
CHD1_CHD1	4686598	29.28634484628097	0.06395
CHD1_CEBPB	8488163	30.407817886094463	0.007234
CHD1_CEBPB	34366046	32.128688825446204	0.01296
CHD1_BHLHE40	11109133	30.789553086933466	0.03751
CHD1_CEBPB	25863688	31.814286620991936	0.004873
CHD1_CEBPB	9087294	30.508798112884737	0.0103
CHD1_CHD1	10727488	30.74224526155023	0.07816000000000001
CHD1_CEBPB	42901875	32.3683643637436	0.004288
CHD1_BHLHE40	13110102	31.006485293850126	0.05005
CHD1_CEBPB	17341767	31.351790002671727	0.009581999999999999
CHD1_ATF3	8234139	30.36172087452224	0.005175
CHD1_CHD1	13775138	31.06928613237543	0.08891
CHD1_CHD1	8986322	30.492478442278156	0.09938999999999999
CHD1_ATF3	12622361	30.95778286465641	0.0038299999999999996
CHD1_BHLHE40	25465564	31.796836148389133	0.04206
CHD1_CEBPB	3504389	28.254832793921647	0.006151
