"x.prod","y.prod","x.sum","y.sum"
22068.5,30000.236493432,16650.5,27729.7080369
6988,17608.9363165297,6958,16525.4840806798
7099,22885.1399507134,6975,21804.7008085041
9610,22564.3148543329,7651,21489.0188655415
6987,28129.7477195519,6957,27046.4514566967
17555,27098.7669680233,12280,25501.3010093735
18058,37813.2064120269,12652,36165.6128304368
17938,26785.4061509631,12561,25150.2585118798
21227,27359.2198107668,15580,25269.4604591503
7285,21362.8963636186,7023,20283.2866832778
14560,22109.6848246813,10139,20794.6932404054
22770,24024.2028878828,17550,21601.4448327101
18475,24963.4131248377,12931,23280.6192433132
21500,23952.1449119313,15908,21807.9120041806
5982,15373.2169417112,6758,14272.38807664
2779,20766.4643497064,6262,19579.8686673644
26517,24763.1598832854,22438,21509.2468079069
7274,24682.7753606594,7022,23602.7190326163
14096.5,30210.3251065917,9880.5,28923.2988171859
22941,24037.9366666672,17731,21586.3448787354
12031.5,31560.5865551285,8695.5,30405.3576432383
19435,25192.0764751679,13711,23398.4708302331
28943,28316.1102999034,26260,24381.9425890191
19863,26604.6111512767,14083,24756.3582281735
27909,25294.8885785317,24534,21671.6316089408
19909,28227.3815568171,14124,26373.0350512748
16592.5,28481.01953706,11592.5,26974.2129431777
30974,26421.4099191654,29968,21807.8348525966
25305,29991.7776173743,20764,27026.8044115257
26953,26806.7119778398,23051,23446.5210702997
16543,16839.7939566291,11561,15336.8157948288
19136.5,30855.2304025299,13459.5,29098.0196485154
14838.5,31690.9412440797,10306.5,30356.5132729094
18804,16645.4733468709,13192,14926.0683344391
25112,23337.6915603394,20500,20418.1738320721
7037,35287.1384948116,6964,34205.3416899902
26113.5,37480.3901042578,21932.5,34311.4681088699
32278.5,30030.338359841,32092.5,25035.9837686213
10827,26243.8375658215,8139,25136.3578043764
14627,27364.9570974543,10179,26045.3536692678
21183,30170.2198718936,15517,28091.431798275
25090,39065.4210906515,20457,36153.8757046252
25856,29933.7802978907,21657,26808.9135798297
10592,21630.9697748867,8050,20528.573347803
22590,23864.9285840742,17336,21477.5976601626
30896,27344.4890023257,29862,22749.1344111593
24770,27399.5060868746,20014,24564.4689721266
30204,27835.5765469279,28771,23434.4330589212
