"x","y"
22068.5,26394.6077728537
6988,16254.753308077
7099,21499.7628308949
9610,21032.7628308949
6987,26748.2628308949
17555,24566.2628308949
18058,35200.2628308949
17938,24260.549226871
21227,24181.549226871
7285,20035.549226871
14560,20108.549226871
22770,20420.549226871
18475,22358.549226871
21500,20703.549226871
5982,14034.7628308949
2779,19535.2628308949
26517,20102.549226871
7274,23314.753308077
14096.5,28068.6077728537
22941,20354.253308077
12031.5,29675.1077728537
19435,22418.549226871
28943,22829.049226871
19863,23709.753308077
27909,20181.049226871
19909,25364.549226871
16592.5,25969.1077728537
30974,20132.549226871
25305,25652.253308077
26953,22013.549226871
16543,14462.7628308949
19136.5,27939.6077728537
14838.5,29457.1077728537
18804,13915.7628308949
25112,19055.253308077
7037,33972.549226871
26113.5,32732.6077728537
32278.5,23085.6077728537
10827,24606.7628308949
14627,25286.7628308949
21183,26937.7628308949
25090,34764.7628308949
25856,25442.049226871
10592,20081.549226871
22590,20307.549226871
30896,21078.549226871
24770,23263.049226871
30204,21805.549226871
9073,15774.7628308949
4771,28880.2628308949
33091,20493.549226871
9326,24582.253308077
4881.5,26562.6077728537
21206,21625.253308077
16498.5,28837.6077728537
24966,23802.549226871
35435,25661.549226871
27802,25189.753308077
34058,20901.049226871
25695,26179.049226871
27467.5,24020.1077728537
36240,20537.549226871
29327,27923.753308077
31541,24143.549226871
24654,15895.7628308949
29727.5,24516.6077728537
25570.5,27406.6077728537
28981,14511.2628308949
33973,24308.753308077
10089,34226.049226871
22068.5,26394.6077728537
8398,10547.753308077
8502,15302.2628308949
11275,16667.7628308949
8397,18672.2628308949
19788,18456.2628308949
20344,29692.2628308949
20178,22756.549226871
23524,23418.549226871
8707,20257.549226871
16608,20287.549226871
25116,20673.049226871
20781,22093.049226871
23807,21114.549226871
7252,13749.7628308949
3479,13795.7628308949
28722,20262.549226871
8705,16127.253308077
16147.5,22207.1077728537
25252,14911.753308077
13880.5,30048.6077728537
21785,22776.049226871
30942,22290.549226871
22203,16774.253308077
29970,20146.549226871
22248,23304.549226871
18780.5,21187.6077728537
32795,20163.549226871
27569,16638.253308077
29133,21199.049226871
18750,14870.7628308949
21480.5,22387.6077728537
16925.5,25125.6077728537
21169,14037.7628308949
27353,13783.753308077
8447,27983.049226871
28347.5,26607.6077728537
33850.5,29571.1077728537
12583,17743.7628308949
16682,19362.7628308949
23489,20053.2628308949
27340,29647.7628308949
28125,23189.049226871
12354,20642.549226871
24930,20342.549226871
32737,21282.549226871
26997,23295.049226871
32129,21931.049226871
10665,16321.7628308949
5876,17140.7628308949
34605,20581.549226871
10958,15684.253308077
5979.5,21206.6077728537
23511,14973.253308077
18696.5,29330.1077728537
27245,24369.549226871
36442,24096.549226871
29878,17402.253308077
35394,20405.549226871
27961,23446.049226871
29563.5,19831.6077728537
37066,20499.549226871
31293,18056.253308077
33250,22291.549226871
26889,15996.7628308949
31676.5,18506.1077728537
27848.5,23082.1077728537
30991,14521.7628308949
35345,18400.753308077
11816,28636.049226871
21276,26205.513376307
23588,21485.013376307
7882,44367.1695221366
16386,38017.7037277469
8005,37874.5262593708
10653,37934.5262593708
7880,41881.0262593708
21834.5,33912.5141253754
24495,30800.0590958062
22293,31150.5590958062
18941,36139.2037277469
20229,41290.5590958062
23752,30219.2037277469
19038,37726.0262593708
19511,37641.0262593708
19011,39904.0590958062
19360,42673.4697599006
25135.5,36317.5141253754
5211,45356.2037277469
22718,29125.9697599006
8216,21757.4697599006
12129,39457.2037277469
17972.5,34191.0141253754
15875,35932.9697599006
23723.5,24749.5141253754
15478,39122.2037277469
24322,28401.4697599006
19024,37915.5590958062
16363.5,35904.5141253754
12494,41518.5590958062
19973,30449.9697599006
23037,33234.9697599006
6797,37033.5262593708
13106,38764.2037277469
8310,39463.0590958062
14264.5,26637.5141253754
3233,40371.5262593708
28423,26027.3166116595
29545,22416.8166116595
30431,22592.8166116595
28412,26629.3166116595
27983,24255.4697599006
8210,40843.6695221366
13132.5,34447.0141253754
15409,35408.513376307
24461,30595.1695221366
13231,33345.513376307
21012,26716.4697599006
20141.5,34385.0141253754
30248,29611.4697599006
22644.5,31918.5141253754
21435,41702.6695221366
29321,26837.9697599006
27224.5,32504.5141253754
21475,41484.4697599006
18046,36194.013376307
32211,21034.9697599006
29138.5,30094.0141253754
26775,32908.6695221366
28417,23960.9697599006
23341.5,30162.5141253754
26474,27179.3166116595
8464.5,16895.0141253754
4977,33061.3166116595
19338,34207.3166116595
14621,37762.3166116595
17336,41079.3166116595
18022,35710.0262593708
20677,41644.013376307
16182,40002.513376307
20343,34276.5262593708
26577,24786.1695221366
7944,40397.4697599006
27611,28119.513376307
33309,22027.013376307
31114.5,39535.5141253754
18354,39179.7037277469
11995,37084.0262593708
15952,36117.0262593708
25792.5,34352.5141253754
34164,27747.5590958062
24317,37842.2037277469
30694,38317.0590958062
30762,32958.7037277469
22660,37604.5262593708
26543,34768.0262593708
26149,37536.5590958062
27373,41231.9697599006
29609.5,34524.0141253754
8701,44548.7037277469
11763,21952.9697599006
21248,37913.2037277469
27138.5,28652.0141253754
24137,33682.9697599006
32004.5,19221.5141253754
21765,38424.7037277469
32128,27153.9697599006
29631,34440.5590958062
19747,40016.5590958062
26220,29762.4697599006
31482,30268.4697599006
10108,36748.5262593708
19280,38488.7037277469
14120,40091.5590958062
18534.5,23561.0141253754
34657.5,22146.5141253754
24122,32844.3166116595
5465,40724.0262593708
33472,21459.8166116595
33434,19967.3166116595
34232,19425.8166116595
33826,21600.3166116595
34099,23432.4697599006
10350,41370.1695221366
14358.5,32652.0141253754
5586,45812.013376307
22689,32968.1695221366
17971,32912.013376307
26442,26354.4697599006
25966.5,31340.0141253754
36090,27540.4697599006
32321.5,23099.0141253754
29202,39767.1695221366
34997,26778.4697599006
33814.5,27498.5141253754
27215,40295.4697599006
28883,34531.013376307
36835,19944.4697599006
34354.5,26224.5141253754
30633,33188.1695221366
32743,23781.9697599006
28510.5,26633.5141253754
34626,18698.8166116595
13436.5,12454.5141253754
8657,33151.3166116595
27553,27111.8166116595
26919,39073.3166116595
26103,30843.0262593709
31038,36945.013376307
27092,37183.513376307
10172,40558.5590958062
30296,28018.0262593709
34926,24468.1695221366
11230,40061.4697599006
17403,38415.0590958062
1548,40822.8335731014
2342,40340.8335731014
1519,40991.8335731014
5785,37336.3335731014
6054,34324.3335731014
1265,24586.3335731013
586,40852.8335731014
1588.5,34631.2476870528
8929.5,29790.7476870528
7084.5,33908.2476870528
10551.5,28434.7476870528
5274,31883.8335731013
6473,30776.8335731013
10386.5,23761.7476870528
2763,40606.8335731014
4310,39842.8335731014
7805,37682.3335731014
10367,31716.8335731013
2148,23773.3335731013
981,40863.8335731014
2244.5,34612.2476870528
7823.5,33067.2476870528
12503.5,33113.7476870528
13844.5,28594.2476870528
10068,28632.3335731013
13554,26765.8335731013
19397.5,17884.2476870528
3353,13656.048337488
4139,12659.548337488
3858,34063.6828393949
693,32948.01823764
2033,24855.513582862
1614.5,30238.3231496218
701,36126.7758716164
1008,34049.2758716164
692,36333.7758716164
3525,30568.1828393949
1085.5,33482.3231496218
4466,18488.7317384275
3675,20767.7317384275
2652,24033.013582862
3012,27716.7317384275
4186,15294.513582862
2674,31913.7758716164
2822,36232.7758716164
2669,32051.7317384275
2783,32364.9957361705
4734,35837.1828393949
471,34966.013582862
3830,36782.4957361705
724,40141.9957361705
1220,20647.513582862
2410,27835.6828393949
1915,36178.4957361705
4177,21684.1828393949
1841,20022.013582862
4402,27444.4957361705
2671,27432.7317384275
2026,28535.1828393949
1275,31881.2317384275
2942,39526.4957361705
3930,37423.9957361705
588,37847.7758716164
1385,21180.013582862
733,29700.2317384275
1574,33196.6828393949
352,37899.7758716164
6402,23222.2234767115
7140,19427.2234767115
7709,20151.2234767115
6397,23158.2234767115
6169,19367.9957361705
721,34214.51823764
1391,30689.6828393949
1316,34243.8330133669
1831,15108.048337488
4454,17436.01823764
2034,38715.3330133669
1415,20554.548337488
3261,33467.4957361705
2992,23749.6828393949
3118,40408.8330133669
7574,23430.9957361705
3808,20467.1828393949
3402,23272.51823764
5457,20242.3330133669
6850,20711.8330133669
6964,15197.4957361705
5758,15675.6828393949
311.5,26530.3231496218
3414,39038.9957361705
2429,23975.048337488
5953,22237.3330133669
9084,13911.9957361705
6841,25412.1828393949
5529,19104.51823764
4550,34954.3330133669
6398,21329.4957361705
4044,13273.6828393949
5380,21454.2234767115
749,10893.1828393949
457,49637.2234767115
2773,32556.2234767115
1644,45150.2234767115
1214.5,30493.8231496218
2256,48200.7234767115
2424,31042.7758716164
3160,25521.048337488
1983,30950.048337488
3050,25367.7758716164
5431,15448.01823764
9096,19828.8330133669
2987,24447.8330133669
696,44513.9957361705
1595.5,32125.3231496218
5957,16807.048337488
10166,15546.048337488
8221,32306.1828393949
301.5,34119.3231496218
2510,27847.013582862
8198.5,23963.8231496218
2075.5,32098.3231496218
1202,36295.2758716164
1933,33014.7758716164
5085,36794.6828393949
2094.5,33487.3231496218
11135,14544.2317384275
4399,23956.513582862
7915,24895.7317384275
7959,18216.513582862
3814,36301.2758716164
5417,36371.2758716164
5236,31879.2317384275
5817,34095.9957361705
7160,37513.1828393949
774,34474.513582862
1163,45012.9957361705
3338,21431.513582862
5714,28052.1828393949
4326,35042.9957361705
8921,20457.1828393949
3505,20314.013582862
9019,26797.4957361705
7174,24028.2317384275
2886,30956.2317384275
5264,40190.9957361705
8516,36723.4957361705
932,38331.7758716164
2752,22487.013582862
1553,30648.7317384275
2559,32422.1828393949
11721,21387.6828393949
4324,20820.7234767115
484,38030.7758716164
10317,22641.2234767115
10294,19375.2234767115
11214,19511.7234767115
10709,22988.7234767115
11037,22902.9957361705
963,34817.51823764
1586,28380.6828393949
626,20658.8330133669
494,33152.548337488
3824,22097.01823764
3711,49422.8330133669
2409,24984.548337488
5374,36875.4957361705
5156,27759.6828393949
4184,40518.8330133669
14100,24868.4957361705
9171,22099.1828393949
6888,21569.51823764
8405,23039.8330133669
10794,22363.3330133669
12152,16797.4957361705
10691,16677.6828393949
336.5,21852.8231496218
5746,42199.4957361705
6677,25945.548337488
11567,24389.3330133669
15674,17235.9957361705
11368,27419.6828393949
7846,21730.51823764
4946,36820.3330133669
9584,25246.4957361705
6455,16417.1828393949
11681,18873.7234767115
1447,9537.68283939493
766,49453.2234767115
5924,29798.2234767115
3078.5,29309.3231496218
5599,45107.7234767115
5208,30703.7758716164
8180,24962.048337488
