"x","y","upper","lower"
1001,34292.5300730875,46145.7087858258,22439.3513603492
1002,34279.5523449194,46134.046842003,22425.0578478357
1003,34279.9310081356,46134.6010611075,22425.2609551638
1004,34299.3204225378,46124.5200830141,22474.1207620615
1005,34327.6047503034,46120.3182589563,22534.8912416506
1006,34333.4432104981,46130.2344005355,22536.6520204607
1007,34331.9120099303,46128.1134735508,22535.7105463099
1008,34355.485433376,46127.5402631856,22583.4306035664
1009,34381.0434495344,46128.1871760716,22633.8997229972
1010,34365.0474849361,46116.1722545351,22613.9227153372
1011,34370.1331978781,46124.5654029227,22615.7009928334
1012,34413.8768316389,46146.3442724696,22681.4093908081
1013,34413.2085728689,46145.3973277124,22681.0198180253
1014,34408.266857753,46139.2953029467,22677.2384125593
1015,34436.1957853336,46142.6095710151,22729.7819996522
1016,34445.6615643169,46141.7830452063,22749.5400834275
1017,34409.044163,46123.51488236,22694.57344364
1018,34437.3462543021,46128.1620063852,22746.5305022191
1019,34471.2358706287,46114.4983640519,22827.9733772055
1020,34509.2671107511,46105.6215509954,22912.9126705068
1021,34528.3025647715,46111.3828645333,22945.2222650098
1022,34533.4087138134,46119.8672194321,22946.9502081947
1023,34529.9689249648,46115.4233147402,22944.5145351893
1024,34562.1877422141,46130.0956533263,22994.279831102
1025,34520.7407188933,46112.0488900732,22929.4325477135
1026,34547.4990139771,46117.9463861466,22977.0516418075
1027,34550.4067089092,46122.497717202,22978.3157006164
1028,34540.3994874931,46112.4264375149,22968.3725374714
1029,34567.985670563,46115.5025058326,23020.4688352934
1030,34560.3974230028,46107.0841454924,23013.7107005133
1031,34552.3864746487,46098.3383027521,23006.4346465453
1032,34570.7668807386,46112.3299238263,23029.2038376509
1033,34568.6032218642,46114.9276607352,23022.2787829932
1034,34562.6336094696,46103.0567371114,23022.2104818277
1035,34551.3068486985,46085.2985502787,23017.3151471183
1036,34526.3437844704,46039.3439491704,23013.3436197704
1037,34511.5646511355,46015.5351598306,23007.5941424405
1038,34502.4104074815,46000.2637155589,23004.5570994041
1039,34476.188994432,45953.2562880591,22999.1217008049
1040,34506.8464370055,45948.2264555643,23065.4664184468
1041,34481.6299268845,45919.4962014435,23043.7636523255
1042,34500.0320974027,45920.3868081908,23079.6773866145
1043,34527.7985173939,45939.3306173003,23116.2664174875
1044,34530.9313855564,45946.3234579041,23115.5393132088
1045,34552.4478675757,45942.0632284218,23162.8325067295
1046,34554.5887758632,45947.0048289034,23162.1727228229
1047,34564.3806380851,45945.9875227214,23182.7737534488
1048.5,34564.3356830402,45945.9227428602,23182.7486232202
1048.5,34564.2907279952,45945.8579627869,23182.7234932036
1050,34593.4272300408,45950.6006452878,23236.2538147939
1051,34574.6595889031,45924.3515191492,23224.967658657
1052,34603.7035103091,45916.8828419615,23290.5241786567
1053,34590.7799338855,45897.4601637946,23284.0997039764
1054,34613.2484926192,45894.2996110833,23332.197374155
1055,34608.5903234852,45884.7955947293,23332.3850522411
1056,34596.6713024124,45868.1755289919,23325.1670758329
1057.5,34571.3246491375,45821.6421354473,23321.0071628277
1057.5,34554.0316678743,45796.0469433504,23312.0163923981
1059,34518.3610813928,45746.8188061638,23289.9033566217
1060,34502.2536887854,45721.5934554933,23282.9139220774
1061,34485.340152935,45701.7216429513,23268.9586629187
1062,34468.0667844686,45678.7575147365,23257.3760542008
1063,34488.640412513,45677.1563560137,23300.1244690124
1064,34479.9845671801,45664.339268213,23295.6298661472
1065,34439.179474501,45647.5098859607,23230.8490630413
1066,34455.9825419066,45659.1657368596,23252.7993469535
1067,34487.9643046334,45667.7165031911,23308.2121060756
