"x.prod","x.sum","y"
22068.5,16650.5,30524
6988,6958,10391.5
7099,6975,7937
9610,7651,7470
6987,6957,13185.5
17555,12280,11003.5
18058,12652,21637.5
17938,12561,4529
21227,15580,4450
7285,7023,304
14560,10139,377
22770,17550,689
18475,12931,2627
21500,15908,972
5982,6758,472
2779,6262,5972.5
26517,22438,371
7274,7022,17451.5
14096.5,9880.5,32198
22941,17731,14491
12031.5,8695.5,33804.5
19435,13711,2687
28943,26260,3097.5
19863,14083,17846.5
27909,24534,449.5
19909,14124,5633
16592.5,11592.5,30098.5
30974,29968,401
25305,20764,19789
26953,23051,2282
16543,11561,900
19136.5,13459.5,32069
14838.5,10306.5,33586.5
18804,13192,353
25112,20500,13192
7037,6964,14241
26113.5,21932.5,36862
32278.5,32092.5,27215
10827,8139,11044
14627,10179,11724
21183,15517,13375
25090,20457,21202
25856,21657,5710.5
10592,8050,350
22590,17336,576
30896,29862,1347
24770,20014,3531.5
30204,28771,2074
9073,7497,2212
4771,6555,15317.5
33091,33870,762
9326,7570,18719
4881.5,6567.5,30692
21206,15554,15762
16498.5,11518.5,32967
24966,20333,4071
35435,37385,5930
27802,24334,19326.5
34058,35642,1169.5
25695,21392,6447.5
27467.5,23791.5,28149.5
36240,38223,806
29327,26910,22060.5
31541,30964,4412
24654,19851,2333
29727.5,27801.5,28646
25570.5,21199.5,31536
28981,26355,948.5
33973,35535,18445.5
10089,7842,14494.5
22068.5,16650.5,30524
8398,10065,4684.5
8502,10093,1739.5
11275,10832,3105
8397,10064,5109.5
19788,14729,4893.5
20344,15140,16129.5
20178,15036,3025
23524,18042,3687
8707,10153,526
16608,12881,556
25116,19600,941.5
20781,15497,2361.5
23807,18290,1383
7252,9854,187
3479,9268,233
28722,23889,531
8705,10148,10264
16147.5,12700.5,26336.5
25252,19740,9048.5
13880.5,11780.5,34178
21785,16389,3044.5
30942,27516,2559
22203,16786,10911
29970,25875,415
22248,16832,3573
18780.5,13996.5,25317
32795,30754,432
27569,22391,10775
29133,24498,1467.5
18750,13968,1308
21480.5,16090.5,26517
16925.5,13023.5,29255
21169,15804,475
27353,22162,7920.5
8447,10081,8251.5
28347.5,23362.5,30737
33850.5,32776.5,33700.5
12583,11293,4181
16682,12910,5800
23489,17992,6490.5
27340,22120,16085
28125,23082,3457.5
12354,11201,911
24930,19426,611
32737,30614,1551
26997,21801,3563.5
32129,29643,2199.5
10665,10673,2759
5876,9608,3578
34605,34403,850
10958,10738,9821
5979.5,9622.5,25336
23511,18022,9110
18696.5,13942.5,33459.5
27245,22045,4638
36442,37541,4365
29878,25703,11539
35394,35875,674
27961,22871,3714.5
29563.5,25200.5,23961
37066,38284,768
31293,28228,12193
33250,31568,2560
26889,21669,2434
31676.5,28958.5,22635.5
27848.5,22729.5,27211.5
30991,27628,959
35345,35783,12537.5
11816,11011,8904.5
21276,15660,12584
23588,18098,7863.5
7882,8881,35580
16386,12242,27936.5
8005,8909,32096.5
10653,9677,32156.5
7880,8880,36103
21834.5,16239.5,30310.5
24495,19071,22425
22293,16722,22775.5
18941,13677,26058
20229,14680,32915.5
23752,18253,20138
19038,13719,31948
19511,14082,31863
19011,13710,31529
19360,13977,29997.5
25135.5,19763.5,32715.5
5211,8344,35275
22718,17206,16450
8216,8969,9081.5
12129,10206,29376
17972.5,13075.5,30589
15875,11982,23257
23723.5,18227.5,21147.5
15478,11765,29041
24322,18877,15725.5
19024,13713,29540.5
16363.5,12220.5,32302.5
12494,10344,33143.5
19973,14447,17774
23037,17485,20559
6797,8638,31255.5
13106,10618,28683
8310,8993,31088
