"x.prod","y.prod","x.sum","y.sum"
22068.5,43231.3504340772,16650.5,6285.43434274748
6988,16084.6675995888,6958,3240.351599118
7099,21779.3066387061,6975,8794.51606144008
9610,23910.1496155666,7651,7549.5675556066
6987,23833.075612695,6957,10990.6005826083
17555,35489.5618047486,12280,6755.69683523744
18058,45575.8363423108,12652,16004.9779589195
17938,35879.3920046462,12561,6509.74452543559
21227,39323.3068672819,15580,4082.17318505873
7285,23969.3130019048,7023,10735.8731326216
14560,27482.1395047113,10139,3681.68660138362
22770,35598.9247140498,17550,-2772.97338782102
18475,34483.3075393184,12931,4238.53570519164
21500,34793.1833412615,15908,-987.907835288755
5982,18289.8548251281,6758,6749.87686630507
2779,18153.3221083785,6262,10670.5618779278
26517,38230.3277775023,22438,-7814.9975022607
7274,19675.1556920727,7022,6455.17148256349
14096.5,34568.1256510221,9880.5,11481.6647244697
22941,39380.4366672185,17731,686.93761522257
12031.5,33164.4164386262,8695.5,13281.5980835084
19435,35470.318666465,13711,3580.52552374993
28943,47498.882300521,26260,-3961.22114827902
19863,37926.1153956402,14083,5286.43900947006
27909,40335.0628063477,24534,-8751.26226535118
19909,38909.4527632748,14124,6188.48924666308
16592.5,36162.9321249645,11592.5,9014.13825272124
30974,44202.4736588029,29968,-12136.1645633916
25305,47535.864550085,20764,4035.72504342235
26953,43622.862163324,23051,-3345.39795966548
16543,24798.5002657506,11561,-2271.39659849275
19136.5,40845.5613228912,13459.5,9473.36127190071
14838.5,37100.5932666176,10306.5,12862.8547717304
18804,24900.7671226431,13192,-5903.47786957579
25112,41085.4761685892,20500,-2011.1114513503
7037,29882.7224166463,6964,16977.417429494
26113.5,51357.4770668833,21932.5,6124.29248448528
32278.5,54621.7117486913,32092.5,-4675.66352446071
10827,27247.2463207558,8139,9141.55985684143
14627,32378.9292686778,10179,8473.47788863466
21183,42259.1079824073,15517,7111.88752453898
25090,55013.3451210029,20457,11971.528379859
25856,46559.1371489105,21657,1812.23346641948
10592,25198.1609859813,8050,7425.89535134269
22590,35010.011404807,17336,-3007.4089788007
30896,47325.4465056265,29862,-8850.5699861495
24770,42616.7162746772,20014,247.588734175417
30204,47923.6104290662,28771,-6707.33348036027
9073,20600.0063930274,7497,4967.77637585056
4771,22051.416031781,6555,12055.9157514362
33091,48754.8882974264,33870,-12693.9943072584
9326,23332.5224839655,7570,7356.83721973184
4881.5,14630.9373635388,6567.5,4498.60099737112
21206,38038.1620213232,15554,2839.08622439066
16498.5,38708.1490180301,11518.5,11718.8163329874
24966,43560.9772356513,20333,747.440822131066
35435,60280.8358768117,37385,-6278.9775002786
27802,50592.6847089486,24334,1766.5371027349
34058,51278.4648580724,35642,-12497.6347712731
25695,47174.0692659697,21392,2794.22996559877
27467.5,48445.1702532495,23791.5,376.163541076861
36240,52241.2580877719,38223,-15822.959996175
29327,55294.0804314228,26910,2946.29697075718
31541,52995.2570980825,30964,-4678.71745180565
24654,35390.0672452966,19851,-6733.57116273621
29727.5,51990.4710479395,27801.5,-1428.25626106717
25570.5,48211.4025076544,21199.5,4106.97011836325
28981,38036.5446439658,26355,-13532.2472617969
33973,59404.2803950639,35535,-4200.38771984509
10089,33895.8246854088,7842,16849.1142276606
22068.5,43231.3504340772,16650.5,6285.43434274748
8398,15983.8785893898,10065,-609.31960487451
8502,21433.4921444027,10093,4700.47514002058
11275,23867.6437123019,10832,3411.72177216864
8397,22745.786602496,10064,6154.42937861576
19788,32759.6608437001,14729,-231.863305553536
20344,43702.4359376197,15140,9785.85996436147
20178,36801.6580811693,15036,3148.5541020716
23524,41254.2394250192,18042,1672.27903217164
8707,26304.1525249421,10153,9292.26430136104
16608,30085.3324670654,12881,2042.99821430797
25116,38467.4026764224,19600,-4022.2795187192
20781,36592.4082473419,15497,1925.68833185353
23807,38162.7557833941,18290,-1916.41667756587
7252,20183.0912990334,9854,5064.3113137728
3479,19702.9034522283,9268,9364.53362062653
28722,40987.2843742841,23889,-8605.03651275963
8705,18579.2772093297,10148,1573.10943085194
16147.5,31884.8197260908,12700.5,4499.99193057703
25252,37187.5550703437,19740,-5555.21710281055
13880.5,36486.6783966358,11780.5,12360.0420152941
21785,38511.0235363353,16389,2072.07351709574
30942,49323.3361155161,27516,-5311.99755734358
22203,34878.3078016369,16786,-2315.89830779412
29970,42103.7742441729,25875,-10287.5497486339
22248,39671.5426764968,16832,2393.81339833791
18780.5,34816.4535988884,13996.5,3492.84421418534
32795,46145.5617946199,30754,-12842.1995013139
27569,42190.9134011974,22391,-5044.34063447768
