"x","y"
22068.5,31900.9497363273
6988,11829.2554945419
7099,17425.86952649
9610,19097.36952649
6987,19491.86952649
17555,27531.36952649
18058,37364.86952649
17938,27945.2304834725
21227,29337.7304834725
7285,19798.2304834725
14560,21193.7304834725
22770,24274.7304834725
18475,26297.7304834725
21500,24584.7304834725
5982,14083.86952649
2779,14284.36952649
26517,23584.7304834725
7274,15376.2554945419
14096.5,27837.9497363273
22941,27804.7554945419
12031.5,27239.4497363273
19435,26754.7304834725
28943,30256.2304834725
19863,28829.2554945419
27909,24265.2304834725
19909,29913.2304834725
16592.5,28269.4497363273
30974,24440.2304834725
25305,33899.2554945419
26953,28560.7304834725
16543,17328.86952649
19136.5,31683.4497363273
14838.5,30080.9497363273
18804,16322.86952649
25112,27628.2554945419
7037,25751.7304834725
26113.5,36437.9497363273
32278.5,32798.4497363273
10827,22102.86952649
14627,25848.36952649
21183,32101.36952649
25090,41498.86952649
25856,32444.2304834725
10592,20329.2304834725
22590,23831.2304834725
30896,27635.2304834725
24770,29618.2304834725
30204,28974.7304834725
9073,15891.86952649
4771,17983.36952649
33091,26341.2304834725
9326,18661.2554945419
4881.5,10151.9497363273
21206,27941.7554945419
16498.5,30864.9497363273
24966,30345.7304834725
35435,35478.7304834725
27802,34530.2554945419
34058,27660.7304834725
25695,33239.2304834725
27467.5,32262.4497363273
36240,26869.7304834725
29327,37481.2554945419
31541,32556.2304834725
24654,22287.36952649
29727.5,33082.9497363273
25570.5,33789.9497363273
28981,20514.36952649
33973,35730.7554945419
10089,29168.2304834725
22068.5,31900.9497363273
8398,9617.25549454187
8502,14961.36952649
11275,16893.36952649
8397,16293.36952649
19788,23137.36952649
20344,33800.86952649
20178,27185.7304834725
23524,29595.7304834725
8707,20006.2304834725
16608,21933.7304834725
25116,25750.2304834725
20781,26663.2304834725
23807,26335.7304834725
7252,13873.36952649
3479,13791.36952649
28722,25355.7304834725
8705,12156.2554945419
16147.5,23238.4497363273
25252,24246.7554945419
13880.5,28465.4497363273
21785,27975.7304834725
30942,31227.2304834725
22203,23944.7554945419
29970,25122.7304834725
22248,28835.2304834725
18780.5,25289.4497363273
32795,25849.2304834725
27569,27448.7554945419
29133,28377.2304834725
18750,18509.36952649
21480.5,28645.9497363273
16925.5,26773.4497363273
21169,17287.86952649
27353,24308.2554945419
8447,23347.7304834725
28347.5,34564.9497363273
33850.5,36184.4497363273
12583,18302.36952649
16682,22023.86952649
23489,26849.36952649
27340,39119.36952649
28125,31410.7304834725
12354,21223.7304834725
24930,24711.2304834725
32737,29735.2304834725
26997,31078.2304834725
32129,30942.2304834725
10665,16395.36952649
5876,14721.36952649
34605,28196.2304834725
10958,13828.7554945419
5979.5,7120.44973632733
23511,23198.2554945419
18696.5,32083.4497363273
27245,32495.2304834725
36442,36055.7304834725
29878,29541.2554945419
35394,27769.2304834725
27961,31703.2304834725
29563.5,31360.9497363273
37066,28500.2304834725
31293,30942.2554945419
33250,32011.2304834725
26889,23725.36952649
31676.5,31287.9497363273
27848.5,32611.9497363273
30991,21872.86952649
35345,33145.7554945419
11816,26249.2304834725
21276,31443.7460260519
23588,28457.2460260519
7882,32559.9540374795
16386,37537.7365601125
8005,25968.1858037604
10653,31028.1858037604
7880,31940.6858037604
21834.5,38209.6621035041
24495,38044.7044914466
22293,36850.2044914466
18941,38424.2365601125
