"x","y","upper","lower"
1001,17469.6185511274,25381.0762344968,9558.16086775802
1002,17477.0253244741,25379.2929797306,9574.7576692176
1003,17490.4235381979,25381.1208277128,9599.72624868296
1004,17495.183698702,25384.0174469225,9606.34995048154
1005,17502.4756946608,25389.6211176122,9615.33027170931
1006,17519.92167176,25401.232974931,9638.61036858908
1007,17535.0633156628,25409.0565352003,9661.07009612522
1008,17534.2615067953,25408.7443913556,9659.77862223504
1009,17536.4475428341,25410.1141168013,9662.78096886697
1010,17552.8799708364,25415.1346232582,9690.62531841452
1011,17574.2764973862,25428.373516169,9720.17947860338
1012,17590.5867052442,25450.0981967676,9731.07521372089
1013,17606.6161649494,25458.0375374438,9755.1947924551
1014,17611.6874808721,25456.9927568734,9766.38220487074
1015,17612.4423742333,25457.3883426984,9767.4964057681
1016,17599.4953720775,25455.0157600178,9743.97498413726
1017,17596.8681913327,25454.3445625123,9739.39182015309
1018,17612.8185689044,25477.4247320287,9748.21240578008
1019,17625.5601521971,25477.7853619783,9773.33494241591
1020,17643.1609476246,25483.6841844645,9802.63771078483
1021,17642.6857405717,25483.3409174164,9802.03056372711
1022,17660.975262788,25492.6794598376,9829.27106573832
1023,17674.8377964772,25495.7920502183,9853.88354273616
1024,17682.1085071545,25503.8319711563,9860.3850431527
1025,17677.0464049875,25502.8119133787,9851.28089659628
1026,17677.9139502836,25503.4156651421,9852.41223542505
1027,17695.2444446849,25510.5122448886,9879.97664448126
1028,17708.3837016509,25512.3234064261,9904.44399687569
1029,17713.1844378737,25515.7841637914,9910.58471195606
1030,17723.2954814596,25515.1267310513,9931.46423186797
1031,17730.4926667624,25513.2918016412,9947.69353188356
1032,17743.8740353421,25542.2184150394,9945.52965564474
1033,17740.4520731692,25541.473667893,9939.43047844528
1034,17748.6591620921,25549.6173314345,9947.7009927497
1035,17752.0019540239,25552.2018462979,9951.80206174984
1036,17751.2247044201,25551.3440438372,9951.10536500291
1037,17758.3459484523,25557.849389867,9958.84250703771
1038,17762.8639207093,25561.6388722486,9964.08896916988
1039,17758.1218942888,25557.6437239871,9958.60006459054
1040,17763.5143332906,25560.0779153557,9966.95075122552
1041,17770.3625924331,25566.3501683269,9974.37501653929
1042,17765.0816805389,25563.9738446588,9966.18951641902
1043,17772.9426910203,25575.714686898,9970.17069514268
1044,17785.4374022264,25590.8236706417,9980.05113381105
1045,17791.4215550505,25595.8183297076,9987.02478039335
1046,17808.979792055,25623.5761955477,9994.38338856223
1047,17804.8224421503,25621.2857370825,9988.35914721808
1048.5,17842.128136456,25681.8655735622,10002.3906993498
1048.5,17879.4338307617,25742.1995206987,10016.6681408246
1050,17892.3520469651,25757.9327886263,10026.7713053039
1051,17894.7463181585,25759.3739541446,10030.1186821725
1052,17896.8840720986,25759.8687890254,10033.8993551719
1053,17903.2012549158,25765.7085846751,10040.6939251565
1054,17911.4285544697,25773.2474662464,10049.6096426929
1055,17933.5221693963,25814.3731844001,10052.6711543925
1056,17929.740175139,25814.2001023026,10045.2802479753
1057.5,17941.517240251,25835.9157622411,10047.118718261
1057.5,17958.3651684115,25861.5153603104,10055.2149765126
1059,17959.4398433556,25862.7583271787,10056.1213595325
1060,17964.613170029,25866.6745726956,10062.5517673623
1061,17968.0650502169,25868.3898586947,10067.7402417391
1062,17971.0116061283,25870.043139115,10071.9800731416
1063,17970.2301423149,25869.6078122435,10070.8524723863
1064,17980.6876120933,25877.8300240133,10083.5452001734
1065,17977.1730205077,25877.0772057709,10077.2688352444
1066,17976.7790846559,25876.5880681806,10076.9701011312
1067,17992.2516053798,25898.1721987277,10086.331012032
1068,17995.329030422,25899.9104879778,10090.7475728663
1069,18000.6175997406,25905.8875456927,10095.3476537884
1070,17988.3671157617,25906.686686188,10070.0475453354
1071,17989.605591511,25907.7705682816,10071.4406147405
1072,17989.6210336158,25907.7823885774,10071.4596786543
1073,17995.6666781118,25912.8112639342,10078.5220922893
1074,17999.0077441038,25914.993274226,10083.0222139816
1075,18004.6685517139,25917.5180502521,10091.8190531758
1076,18001.1822875797,25915.524368978,10086.8402061813
1077,17992.5415883979,25913.3556390019,10071.727537794
1078,17988.0125907818,25913.4180999188,10062.6070816447
1079,17991.5334045035,25915.1595511959,10067.907257811
1080,17980.2132754746,25912.3731714126,10048.0533795366
1081,17984.5660962627,25917.0434327842,10052.0887597412
1082,17989.8613245751,25922.5855003069,10057.1371488433
1083.5,18003.971766573,25940.3245401178,10067.6189930283
1083.5,18012.711642758,25954.2602135823,10071.1630719338
1085.5,18016.5908155154,25958.2902842038,10074.891346827
1085.5,18023.7160333793,25964.2285672964,10083.2034994622
1087,18030.6697187869,25972.3848811435,10088.9545564303
1088,18032.1580322637,25973.7034681662,10090.6125963613
1089.5,18020.3492657361,25973.2410707908,10067.4574606814
1089.5,18011.8622660381,25974.6618993077,10049.0626327686
1091,18010.8304695863,25973.4285813933,10048.2323577793
1092,18018.8433030254,25979.6595725094,10058.0270335414
1093,18026.7455076905,25985.7571167026,10067.7338986784
1094,18031.3965811591,25989.1229964027,10073.6701659155
1095,18043.7367624545,26006.1266441387,10081.3468807703
1096,18047.5314610006,26008.6771768101,10086.3857451911
1097,18063.7874979704,26012.0347200954,10115.5402758454
1098,18082.4721277817,26018.6919328303,10146.252322733
1099,18082.9052184007,26019.1216228279,10146.6888139736
1100,18089.6443709619,26022.5239663092,10156.7647756146
1101,18110.0526462281,26057.0153652082,10163.0899272479
1102,18110.263253361,26057.1650035978,10163.3615031242
1103,18108.7681491535,26056.1472115716,10161.3890867354
1104,18132.8914489301,26073.5377021136,10192.2451957466
1105,18142.9520765405,26071.8324704316,10214.0716826494
1106,18146.7424923284,26074.1320472606,10219.3529373961
1107,18150.4244558849,26077.5354060206,10223.3135057492
1108,18150.493580183,26077.5600689099,10223.4270914561
1109,18150.3274135072,26077.4946803148,10223.1601466997
1110,18161.9271368227,26094.8997288943,10228.9545447512
1111,18170.9086762072,26103.8765233737,10237.9408290407
1112,18163.7554451671,26104.686039294,10222.8248510403
1113,18168.6818226315,26108.2865545317,10229.0770907314
1114,18199.0536864512,26169.1926409077,10228.9147319947
1115,18204.1955980553,26171.2955702872,10237.0956258233
1116,18209.3205101023,26174.9183752947,10243.7226449098
1117,18207.2553210986,26173.5454280027,10240.9652141945
1118,18213.4387026039,26178.102968498,10248.7744367099
1119,18217.3813646799,26182.7587422414,10252.0039871184
1120,18219.4389593031,26185.1164332802,10253.761485326
1121,18241.5894570599,26225.4111067836,10257.7678073361
1122,18237.6014313507,26224.9738465004,10250.2290162009
1123,18246.1557600097,26222.6424731664,10269.6690468529
1124,18256.1719201887,26220.8031843088,10291.5406560685
1125,18257.8567353735,26221.1264377793,10294.5870329677
1126,18258.4859079912,26221.6321299727,10295.3396860096
1127,18254.7883371152,26218.6849671588,10290.8917070716
1128,18260.3243011511,26222.8757686655,10297.7728336368
1129,18251.8462043643,26216.974084019,10286.7183247097
1130,18253.1393251143,26218.0549769741,10288.2236732546
1131,18258.2671010459,26220.0991441901,10296.4350579017
