"x.prod","x.sum","y"
22068.5,16650.5,33703.5
6988,6958,4814.5
7099,6975,3910.5
9610,7651,5582
6987,6957,5976.5
17555,12280,14016
18058,12652,23849.5
17938,12561,8713
21227,15580,10105.5
7285,7023,566
14560,10139,1961.5
22770,17550,5042.5
18475,12931,7065.5
21500,15908,5352.5
5982,6758,568.5
2779,6262,769
26517,22438,4352.5
7274,7022,8361.5
14096.5,9880.5,29640.5
22941,17731,20790
12031.5,8695.5,29042
19435,13711,7522.5
28943,26260,11024
19863,14083,21814.5
27909,24534,5033
19909,14124,10681
16592.5,11592.5,30072
30974,29968,5208
25305,20764,26884.5
26953,23051,9328.5
16543,11561,3813.5
19136.5,13459.5,33486
14838.5,10306.5,31883.5
18804,13192,2807.5
25112,20500,20613.5
7037,6964,6519.5
26113.5,21932.5,38240.5
32278.5,32092.5,34601
10827,8139,8587.5
14627,10179,12333
21183,15517,18586
25090,20457,27983.5
25856,21657,13212
10592,8050,1097
22590,17336,4599
30896,29862,8403
24770,20014,10386
30204,28771,9742.5
9073,7497,2376.5
4771,6555,4468
33091,33870,7109
9326,7570,11646.5
4881.5,6567.5,11954.5
21206,15554,20927
16498.5,11518.5,32667.5
24966,20333,11113.5
35435,37385,16246.5
27802,24334,27515.5
34058,35642,8428.5
25695,21392,14007
27467.5,23791.5,34065
36240,38223,7637.5
29327,26910,30466.5
31541,30964,13324
24654,19851,8772
29727.5,27801.5,34885.5
25570.5,21199.5,35592.5
28981,26355,6999
33973,35535,28716
10089,7842,9936
22068.5,16650.5,33703.5
8398,10065,2602.5
8502,10093,1446
11275,10832,3378
8397,10064,2778
19788,14729,9622
20344,15140,20285.5
20178,15036,7953.5
23524,18042,10363.5
8707,10153,774
16608,12881,2701.5
25116,19600,6518
20781,15497,7431
23807,18290,7103.5
7252,9854,358
3479,9268,276
28722,23889,6123.5
8705,10148,5141.5
16147.5,12700.5,25041
25252,19740,17232
13880.5,11780.5,30268
21785,16389,8743.5
30942,27516,11995
22203,16786,16930
29970,25875,5890.5
22248,16832,9603
18780.5,13996.5,27092
32795,30754,6617
27569,22391,20434
29133,24498,9145
18750,13968,4994
21480.5,16090.5,30448.5
16925.5,13023.5,28576
21169,15804,3772.5
27353,22162,17293.5
8447,10081,4115.5
28347.5,23362.5,36367.5
33850.5,32776.5,37987
12583,11293,4787
16682,12910,8508.5
23489,17992,13334
27340,22120,25604
28125,23082,12178.5
12354,11201,1991.5
24930,19426,5479
32737,30614,10503
26997,21801,11846
32129,29643,11710
10665,10673,2880
5876,9608,1206
34605,34403,8964
10958,10738,6814
5979.5,9622.5,8923
23511,18022,16183.5
18696.5,13942.5,33886
27245,22045,13263
36442,37541,16823.5
29878,25703,22526.5
35394,35875,8537
27961,22871,12471
29563.5,25200.5,33163.5
37066,38284,9268
31293,28228,23927.5
33250,31568,12779
26889,21669,10210
31676.5,28958.5,33090.5
27848.5,22729.5,34414.5
30991,27628,8357.5
35345,35783,26131
11816,11011,7017
21276,15660,17909
23588,18098,14922.5
7882,8881,23007.5
16386,12242,27288.5
8005,8909,18348.5
10653,9677,23408.5
7880,8880,24321
21834.5,16239.5,33565
24495,19071,29260
22293,16722,28065.5
18941,13677,28175
20229,14680,34580
23752,18253,26767
19038,13719,33112.5
19511,14082,33351
19011,13710,32796.5
19360,13977,31826.5
25135.5,19763.5,36385.5
5211,8344,16047
22718,17206,22636.5
8216,8969,4632
12129,10206,22915
17972.5,13075.5,31130.5
15875,11982,22475.5
23723.5,18227.5,27607.5
15478,11765,27259
24322,18877,23039.5
19024,13713,31162.5
16363.5,12220.5,31311
12494,10344,27614.5
19973,14447,21643
23037,17485,26608
6797,8638,15014
13106,10618,23797.5
8310,8993,17869.5
14264.5,11142.5,20356
3233,8055,9752.5
28423,23970,30189
29545,25809,27682.5
30431,27351,28216.5
28412,23956,30704
27983,23331,21214.5
8210,8965,18708.5
13132.5,10638.5,25955.5
15409,11730,20723.5
24461,19049,28697
13231,10684,16284.5
21012,15387,19113
20141.5,14608.5,32941.5
30248,27024,27522.5
22644.5,17131.5,32706.5
21435,15807,35171
29321,25394,24411.5
27224.5,22353.5,34949.5
21475,15851,32374.5
18046,13127,24204.5
32211,30426,19681.5
29138.5,25093.5,34217.5
26775,21870,31836.5
28417,23958,21130.5
23341.5,17812.5,31816.5
26474,21474,30256.5
8464.5,9021.5,6686
4977,8308,9256.5
19338,13950,31239
14621,11307,29967.5
17336,12738,36085.5
18022,13110,30620.5
20677,15088,31212
16182,12139,25716.5
20343,14781,31342.5
26577,21622,24777
7944,8896,14393
27611,22822,23871.5
33309,32501,20161
31114.5,28675.5,38249.5
18354,13315,30256.5
11995,10145,24628.5
15952,12018,28966
25792.5,20650.5,35522.5
34164,34350,31029
