"x.prod","y.prod","x.sum","y.sum"
22068.5,27400.743998958,16650.5,22614.464040045
6988,12380.8734287569,6958,10882.3129110078
7099,19015.0406559689,6975,17491.732278052
9610,19244.2161019811,7651,17164.0131497963
6987,22652.722374862,6957,21154.3762614708
17555,24441.9840599549,12280,20624.8618260244
18058,34561.2285361628,12652,30634.9384004917
17938,25468.6802691377,12561,21568.4114257411
21227,25914.7019725559,15580,21306.5314126655
7285,22150.5891152688,7023,20586.0083486036
14560,22211.1315557627,10139,19044.7719256406
22770,22492.3138492482,17550,17557.628141101
18475,24000.9449363337,12931,19983.855005242
21500,22702.8906505026,15908,18036.7429530821
5982,15193.731378181,6758,13918.9986126843
2779,17082.7387432371,6262,16522.0716384919
26517,22164.9670742592,22438,16438.4271958306
7274,17887.7273171367,7022,16325.605953349
14096.5,24557.090493777,9880.5,21492.1768598197
22941,21732.6146711964,17731,16761.3667727908
12031.5,25573.0536542438,8695.5,22959.769054104
19435,24143.0704509631,13711,19918.3351473665
28943,25869.8820959434,26260,19637.2905549909
19863,23567.4430335449,14083,19250.3773171042
27909,22259.8069186993,24534,16241.923401911
19909,26833.4010119143,14124,22506.4222175404
16592.5,23511.307007938,11592.5,19903.3252293433
30974,22205.948003951,29968,15554.831355673
25305,28312.9950376977,20764,22841.6491227723
26953,24457.2785363975,23051,18639.0452603788
16543,15516.2427201875,11561,11919.0556762015
19136.5,27415.9587205189,13459.5,23255.6976059731
14838.5,26882.2898133053,10306.5,23655.09796967
18804,15142.2769693678,13192,11053.9615109343
25112,21338.6602481308,20500,15907.9775941994
7037,30567.1847494186,6964,29057.6843118881
26113.5,34296.9195993075,21932.5,28655.8621388924
32278.5,31723.3493796087,32092.5,24800.820551598
10827,22309.2895008774,8139,19960.7968299687
14627,24172.6946929851,10179,20991.6973925448
21183,28022.804945667,15517,23423.8763631365
25090,37890.4332049867,20457,32464.2554415535
25856,28427.3516551239,21657,22841.3215979719
10592,22187.2210428642,8050,19890.5873381928
22590,22376.474284978,17336,17480.0381144526
30896,23638.0181263219,29862,17003.3423441254
24770,25557.9385518724,20014,20199.1284371936
30204,24645.0323103466,28771,18154.6962416774
9073,16070.270808067,7497,14109.0695702955
4771,23347.7807634761,6555,22342.8679334002
33091,22883.55538611,33870,15796.5651690871
9326,19818.1949863892,7570,17800.9322571401
4881.5,16973.0368656138,6567.5,15943.4429955728
21206,22215.0925617755,15554,17611.3740159305
16498.5,27041.0540744987,11518.5,23453.4282154269
24966,26237.7180892657,20333,20838.1264662107
35435,34395.5697244721,37385,26817.8375161077
27802,29531.9541238862,24334,23536.072992444
34058,23757.1661706271,35642,16470.9738122479
25695,29275.5269610511,21392,23722.9660741365
27467.5,28647.652075841,23791.5,22721.3893393471
36240,23470.1097004457,38223,15720.115135285
29327,33945.4481311752,26910,27633.2107182147
31541,28716.8928918624,30964,21948.5399396153
24654,17230.05107439,19851,11895.6373770053
29727.5,30758.1691446409,27801.5,24365.0196739318
25570.5,30466.819596457,21199.5,24940.2655585032
28981,15864.8899809923,26355,9624.72651760172
33973,35310.8744948659,35535,28042.6844060379
10089,31966.3209056296,7842,29780.5107637255
22068.5,27400.743998958,16650.5,22614.464040045
8398,9121.50672869744,10065,7337.76811975311
8502,15801.5629054747,10093,13994.758985761
11275,16708.1023353608,10832,14286.2208962935
8397,17576.8556748026,10064,15793.3314702161
19788,19056.7601949901,14729,14763.0536566118
20344,30469.1109469295,15140,26054.7317389256
20178,24465.6939213272,15036,20087.5317573649
23524,25497.8468661683,18042,20398.8552527279
8707,22257.4902188458,10153,20405.2695591255
16608,22311.4497110369,12881,18712.9962288395
25116,22766.1180864153,19600,17325.4514884177
20781,23949.0398985633,15497,19440.1583466368
23807,23209.8431836402,18290,18049.821794625
7252,14990.4757285562,9854,13461.8838007031
3479,15027.3916880782,9268,14339.9217421243
28722,22350.8185123712,23889,16143.9050222727
8705,12983.6688026901,10148,11131.8466652033
16147.5,19777.6212005141,12700.5,16280.7276634627
25252,16847.8328236201,19740,11378.0476149259
13880.5,27785.4090550538,11780.5,24788.1688278416
21785,24646.5347178575,16389,19921.2604952753
30942,25493.702155398,27516,18825.0153509355
22203,17737.6549130876,16786,12922.5476635326
29970,22245.2688611584,25875,15778.2292070345
22248,25213.0624139867,16832,20388.3170638208
18780.5,20112.5374402061,13996.5,16037.6195532686
32795,22277.012945616,30754,15225.0171252654
27569,19747.0696688542,22391,13783.8814579492
29133,23598.6703564857,24498,17305.6355831197
18750,15881.4428659735,13968,11813.0845029398
21480.5,22695.8974756343,16090.5,18035.9699529937
16925.5,23108.3603559312,13023.5,19440.0667786427
21169,15230.4075388704,15804,10637.5193610638
27353,16337.8815369951,22162,10420.8734259712
8447,26709.2170944185,10081,24914.6395206334
28347.5,30971.9830427948,23362.5,24843.8294696278
33850.5,34465.9440616684,32776.5,27197.4067843268
12583,17512.9483125969,11293,14802.0750899381
16682,19385.6238986941,12910,15770.85019678
23489,21573.8185978565,17992,16482.1797045313
27340,33671.1443983569,22120,27756.6307746577
28125,26085.9655760815,23082,20004.931433889
12354,22475.9101410658,11201,19815.5185990504
24930,22429.8747023825,19426,17029.208460881
32737,24179.9263147851,30614,17139.5381166787
26997,25977.3979039785,21801,20136.6672668928
32129,25172.2290395221,29643,18258.5340266665
10665,16473.7075189171,10673,14187.1658059852
5876,16499.9592200962,9608,15277.7955969914
34605,23164.1744877734,34403,15742.6723932292
10958,13290.2124611918,10738,10938.5484987517
5979.5,13660.1951312457,9622.5,12414.9421581276
23511,16296.6768824235,18022,11200.4018571772
18696.5,29003.0825968856,13942.5,24946.4775408328
27245,27362.4346034267,22045,21468.4913036083
36442,32221.9948273979,37541,24419.7661651903
29878,21909.6333925115,25703,15461.5112997882
35394,22936.81392051,35875,15353.0420100378
27961,26404.5957253292,22871,20358.2494096095
29563.5,25531.9275247036,25200.5,19149.3376496522
37066,23569.9938753078,38284,15635.1782575712
31293,23524.6422699977,28228,16784.3440092737
33250,26188.7952134472,31568,19042.8696926265
26889,17573.6974661801,21669,11755.8802078888
31676.5,26037.4886580079,28958.5,19218.4694624741
27848.5,27630.8734905378,22729.5,21608.3548957527
30991,15967.0384170477,27628,9288.48181517484
35345,28184.3708123379,35783,20610.6706091575
11816,28031.8282849382,11011,25490.2995194015
21276,27349.3613019087,15660,22730.9978887977
23588,23267.7484873786,18098,18154.9542310808
7882,39786.5635653134,8881,38106.7138150044
16386,35990.0661788239,12242,32435.0006430528
8005,31141.7051787623,8909,29434.5246204968
10653,32827.9518393205,9677,30534.0490125235
7880,37966.9979480902,8880,36287.587101991
21834.5,34638.6904220471,16239.5,29900.7941804306
24495,33214.9262515158,19071,27908.3335452211
22293,32339.1405670741,16722,27503.1822192231
18941,35473.5791448409,13677,31359.4035213112
20229,42019.2555659545,14680,37626.0499136555
23752,32053.8821640002,18253,26905.834733562
19038,37469.1458523104,13719,33333.6177538919
19511,37628.9811879649,14082,33390.9293239179
19011,39791.0481951974,13710,35661.4907333351
19360,42411.5249777352,13977,38206.3125644564
25135.5,38715.1139009626,19763.5,33271.7201691315
5211,38618.4184146887,8344,37532.7864886351
22718,30366.4266273998,17206,25439.9420615959
8216,18737.0832120119,8969,16983.1389146281
12129,35164.6206047399,10206,32544.6965128196
17972.5,32638.1325652683,13075.5,28735.3126086757
15875,33728.6654883946,11982,30285.6945485149
23723.5,25990.6205798462,18227.5,20848.7139600901
15478,36655.8817294929,11765,33299.8465086267
24322,30365.5570568175,18877,25095.8442990622
19024,37523.0179087152,13713,33390.5722352597
16363.5,33855.2642126937,12220.5,30305.0328704691
12494,38206.0296282196,10344,35505.5562685171
19973,30403.2800955247,14447,26065.1941552088
23037,34531.1099845557,17485,29535.8266088227
6797,29482.4410576539,8638,28043.7204416569
13106,35027.9612611852,10618,32192.8601574609
8310,33022.1686407012,8993,31247.3636490913
14264.5,23214.1471552956,11142.5,20124.2580597199
3233,31167.3267306937,8055,30522.8379140198
28423,29802.537422965,23970,23663.56712362
29545,26753.4718093798,25809,20381.178289728
30431,27680.9045575318,27351,21125.271420897
28412,30576.6787598819,23956,24440.0366219915
27983,27807.5917262527,23331,21760.9503410598
8210,34323.715543812,8965,32571.0778635636
13132.5,30125.2352843043,10638.5,27284.3918921315
15409,33640.0365935835,11730,30299.1385202099
24461,32827.4125816621,19049,27528.2307694644
13231,30819.5964803753,10684,27957.099197765
21012,27283.7903311038,15387,22721.9388090289
20141.5,34112.1561728669,14608.5,29737.8724297882
30248,35328.8090666712,27024,28810.9581763848
22644.5,32963.1852413413,17131.5,28052.4493003481
21435,42812.1421734203,15807,38159.5673214763
29321,31437.2647219969,25394,25111.0695391458
27224.5,36472.9665713347,22353.5,30586.7399784003
21475,42325.6060218577,15851,37664.4953775743
18046,35583.4331883749,13127,31664.6324106081
32211,26286.9641958626,30426,19362.7649669997
29138.5,35579.304917597,25093.5,29291.0472617609
26775,36788.9331929052,21870,30998.7381120436
28417,27678.261851474,23958,21540.5174053119
23341.5,31461.8102098831,17812.5,26401.4729035364
26474,29799.7357761509,21474,24073.1173350777
8464.5,12487.0596982071,9021.5,10677.8572010512
4977,23691.6530510086,8308,22658.1906525258
19338,32999.6942734947,13950,28799.1482786191
14621,34501.3766643081,11307,31333.1140802846
17336,40516.9300123013,12738,36753.5969822304
18022,34509.7940081959,13110,30596.2096034769
20677,42423.6359245138,15088,37933.973300118
16182,38345.907536511,12139,34835.6001346497
20343,34311.9244376136,14781,29894.1454470924
26577,27955.9368754333,21622,22207.6890827305
7944,33749.8201830787,8896,32056.2028743595
27611,32259.5573734163,22822,26291.2913266712
33309,28768.3430863627,32501,21618.5911702392
31114.5,42092.1428578567,28675.5,35396.4355543005
18354,38303.2337136924,13315,34317.184934408
11995,32560.2271480982,10145,29969.7702112017
15952,33731.3182877147,12018,30271.424297021
25792.5,37228.1591977271,20650.5,31646.2237663979
34164,38623.6771976991,34350,31300.644476681
24317,40534.2743900909,18858,35265.4923172082
30694,44931.1262857214,27867,38321.6589629603
30762,40244.8804284095,28010,33621.5907713668
22660,39220.4678301977,17154,34306.4792901157
26543,38716.7851734667,21580,32975.7463649796
26149,41486.9674597496,21048,35829.0107900897
27373,45830.1883124927,22529,39912.3952507516
29609.5,39541.6477583926,25901.5,33155.8078314908
8701,39722.5688950095,9072,37860.7820053168
11763,19815.1699829278,10050,17275.8379397484
21248,38658.8929314144,15627,34046.482362854
27138.5,32505.0871711759,22242.5,26637.0469656683
24137,35600.6165376067,18673,30370.3767716737
32004.5,25681.7870652965,30097.5,18800.6306860617
21765,39539.9918420898,16162,34816.915939394
32128,33953.766514597,30297,27046.8984547118
29631,41009.6105892666,25937,34619.302305587
19747,40366.3745275329,14272,36077.2588422972
26220,32788.1907627606,21142,27115.2435800542
31482,37117.8976159349,29343,30346.4253590739
10108,31083.6882642997,9505,28910.4014318383
19280,38092.4489955932,13888,33904.2980714989
14120,37252.5690581057,11083,34194.5195092405
18534.5,22278.1193333337,13423.5,18252.6436918777
34657.5,32985.229923195,35303.5,25561.0325788286
24122,34416.7656423781,18648,29189.6409868727
5465,33698.8639762295,8398,32556.7542444592
33472,29407.4096266574,32848,22224.5673711059
33434,27491.1869797004,32771,20316.0983654801
34232,27825.3126344148,34492,20488.4474836211
33826,30098.1865736978,33613,22843.5944235143
34099,31203.873896756,34199,23893.9092465112
10350,36348.5270059502,9578,34121.6481803827
