"x","y"
22068.5,27569.082114834
6988,12444.0969700198
7099,19079.7205751178
9610,19315.7205751178
6987,22717.2205751178
17555,24560.2205751178
18058,34683.2205751178
17938,25586.5597543527
21227,26063.0597543527
7285,22212.5597543527
14560,22304.5597543527
22770,22660.5597543527
18475,24122.5597543527
21500,22854.5597543527
5982,15256.2205751178
2779,17140.2205751178
26517,22382.5597543527
7274,17951.5969700198
14096.5,24657.082114834
22941,21904.5969700198
12031.5,25661.082114834
19435,24272.5597543527
28943,26126.0597543527
19863,23702.5969700198
27909,22498.5597543527
19909,26967.0597543527
16592.5,23628.582114834
30974,22499.5597543527
25305,28515.5969700198
26953,24681.0597543527
16543,15627.2205751178
19136.5,27552.082114834
14838.5,26986.582114834
18804,15269.7205751178
25112,21538.5969700198
7037,30628.5597543527
26113.5,34518.582114834
32278.5,32047.582114834
10827,22385.7205751178
14627,24269.7205751178
21183,28173.7205751178
25090,38091.2205751178
25856,28637.0597543527
10592,22259.5597543527
22590,22542.5597543527
30896,23930.5597543527
24770,25751.0597543527
30204,24926.5597543527
9073,16140.2205751178
4771,23408.2205751178
33091,23216.5597543527
9326,19887.5969700198
4881.5,17039.582114834
21206,22365.0969700198
16498.5,27157.582114834
24966,26434.0597543527
35435,34764.0597543527
27802,29770.5969700198
34058,24108.0597543527
25695,29482.5597543527
27467.5,28888.082114834
36240,23847.0597543527
29327,34210.0969700198
31541,29020.5597543527
24654,17424.7205751178
29727.5,31039.082114834
25570.5,30681.082114834
28981,16125.2205751178
33973,35662.5969700198
10089,32036.5597543527
22068.5,27569.082114834
8398,9216.09697001984
8502,15897.7205751178
11275,16811.7205751178
8397,17672.7205751178
19788,19199.7205751178
20344,30616.2205751178
20178,24608.5597543527
23524,25671.0597543527
8707,22351.0597543527
16608,22432.5597543527
25116,22955.0597543527
20781,24096.5597543527
23807,23385.5597543527
7252,15084.2205751178
3479,15115.2205751178
28722,22583.0597543527
8705,13079.0969700198
16147.5,19906.082114834
25252,17040.0969700198
13880.5,27904.582114834
21785,24803.0597543527
30942,25762.5597543527
22203,17900.0969700198
29970,22497.5597543527
22248,25374.0597543527
18780.5,20254.082114834
32795,22578.5597543527
27569,19966.0969700198
29133,23837.0597543527
18750,16016.7205751178
21480.5,22858.582114834
16925.5,23240.082114834
21169,15384.2205751178
27353,16554.5969700198
8447,26802.0597543527
28347.5,31208.082114834
33850.5,34797.082114834
12583,17621.2205751178
16682,19510.2205751178
23489,21749.7205751178
27340,33888.7205751178
28125,26310.0597543527
12354,22580.0597543527
24930,22617.0597543527
32737,24480.0597543527
26997,26188.5597543527
32129,25462.5597543527
10665,16575.7205751178
5876,16591.2205751178
34605,23502.5597543527
10958,13391.5969700198
5979.5,13757.582114834
23511,16471.5969700198
18696.5,29144.082114834
27245,27576.0597543527
36442,32592.0597543527
29878,22162.0969700198
35394,23290.0597543527
27961,26626.5597543527
29563.5,25786.582114834
37066,23947.5597543527
31293,23802.5969700198
33250,26498.5597543527
26889,17786.7205751178
31676.5,26330.082114834
27848.5,27860.582114834
30991,16240.2205751178
35345,28538.5969700198
11816,28134.0597543527
21276,27505.9881055384
23588,23448.9881055384
7882,39866.4815303974
16386,36112.5249873151
8005,31216.0258918721
10653,32910.0258918721
7880,38041.0258918721
21834.5,34799.3872918468
24495,33405.8894672113
22293,32506.3894672113
18941,35610.5249873151
20229,42165.8894672113
23752,32237.0249873151
19038,37592.0258918721
19511,37755.5258918721
19011,39927.8894672113
19360,42543.9938777463
25135.5,38911.3872918468
5211,38701.5249873151
22718,30531.4938777463
8216,18818.9938777463
12129,35266.5249873151
17972.5,32766.8872918468
15875,33840.9938777463
23723.5,26171.3872918468
15478,36773.5249873151
24322,30547.4938777463
19024,37659.8894672113
16363.5,33975.3872918468
12494,38308.8894672113
19973,30540.4938777463
23037,34698.9938777463
6797,29554.0258918721
13106,35134.0249873151
8310,33111.3894672113
14264.5,23323.3872918468
3233,31233.0258918721
28423,30030.3003625526
29545,26999.8003625526
