"x","y","upper","lower"
1001,25570.1944801701,37586.1653982372,13554.223562103
1002,25563.7645483459,37583.623221793,13543.9058748989
1003,25567.6094360121,37586.7907623815,13548.4281096427
1004,25574.8758292479,37587.1609602281,13562.5906982678
1005,25588.3900104143,37591.4083307388,13585.3716900899
1006,25580.3930529371,37577.8686378357,13582.9174680385
1007,25571.9668809439,37563.7447966963,13580.1889651914
1008,25576.7169203226,37564.4601847529,13588.9736558923
1009,25589.2367536016,37568.5911848954,13609.8823223078
1010,25592.4720453994,37570.4946725398,13614.449418259
1011,25602.3706923177,37579.0716366219,13625.6697480135
1012,25627.4484877518,37598.8638980284,13656.0330774752
1013,25613.5391822198,37577.6386697774,13649.4396946621
1014,25595.0284746427,37552.9289015007,13637.1280477847
1015,25607.2265000665,37556.6874339467,13657.7655661864
1016,25603.5713153908,37556.1264082093,13651.0162225723
1017,25582.3889045669,37541.6559016298,13623.1219075041
1018,25604.4609648153,37560.7998771384,13648.1220524921
1019,25630.1135224661,37559.8752828162,13700.3517621161
1020,25655.0352131921,37558.1006432406,13751.9697831436
1021,25662.8103574884,37562.7083619065,13762.9123530703
1022,25652.9774726733,37546.0188438669,13759.9361014797
1023,25637.7702922704,37523.6290396171,13751.9115449237
1024,25656.4681112407,37536.4645904635,13776.4716320178
1025,25615.5925702006,37489.1929466221,13741.9921937791
1026,25627.4386172895,37493.9206575792,13760.9565769998
1027,25618.3885359522,37478.2238481573,13758.5532237471
1028,25599.1164204844,37453.0910946618,13745.141746307
1029,25609.863247781,37457.2997277343,13762.4267678276
1030,25592.9319273513,37433.5442020104,13752.3196526922
1031,25572.0981207462,37407.7167107776,13736.4795307148
1032,25585.3089613408,37424.2693335621,13746.3485891195
1033,25581.309568464,37425.3094680155,13737.3096689124
1034,25564.3448992986,37388.9673128212,13739.722485776
1035,25541.2916236713,37347.6941484602,13734.8890988824
1036,25505.4989831632,37271.8705832149,13739.1273831115
1037,25479.6761349145,37228.9349891099,13730.4172807191
1038,25457.3005465958,37188.952016932,13725.6490762597
1039,25422.6588909361,37116.4809657044,13728.8368161679
1040,25437.7464436775,37119.0835134776,13756.4093738774
1041,25417.2088255429,37084.7539790167,13749.6636720692
1042,25422.1783077701,37086.0617268427,13758.2948886976
1043,25434.037762344,37095.7181035267,13772.3574211613
1044,25434.0591767635,37095.7724761613,13772.3458773658
1045,25442.1526626105,37096.8526826352,13787.4526425858
1046,25448.012375213,37107.274409391,13788.7503410349
1047,25447.1074691919,37107.1344673797,13787.0804710041
1048.5,25446.5170596015,37105.8818748236,13787.1522443794
1048.5,25445.9266500111,37104.6292147583,13787.2240852638
1050,25462.522282765,37115.3455571381,13809.6990083919
1051,25446.9917763588,37097.0186043397,13796.964948378
1052,25464.8439478553,37102.1264946823,13827.5614010283
1053,25436.8804113917,37053.1257094329,13820.6351133506
1054,25446.5202047469,37056.4555581497,13836.5848513442
1055,25439.9796188654,37040.6291591916,13839.3300785392
1056,25417.5368387007,37004.5475369505,13830.5261404508
1057.5,25392.7196280754,36942.6648347213,13842.7744214294
1057.5,25380.6464338364,36919.1800011157,13842.1128665572
1059,25348.9167394449,36851.8441215771,13845.9893573128
1060,25318.9182379464,36792.6630696245,13845.1734062684
1061,25298.3487391424,36765.9136679367,13830.783810348
1062,25281.5466464505,36745.0137764537,13818.0795164473
1063,25286.9094790046,36745.6770730528,13828.1418849564
1064,25271.5341948378,36719.2783194749,13823.7900702007
1065,25245.845021805,36703.5519326782,13788.1381109318
1066,25252.9802003403,36710.8612986577,13795.0991020229
1067,25273.8557621754,36727.8392986336,13819.8722257172
1068,25257.6186045485,36707.6787048082,13807.5585042889
1069,25235.2457560587,36665.9004854803,13804.5910266371
1070,25227.9006640178,36666.2613611362,13789.5399668994
1071,25231.0649567215,36667.3363690413,13794.7935444016
1072,25237.7430694268,36669.6022449325,13805.8838939211
1073,25215.2720708397,36618.4464608728,13812.0976808066
1074,25191.8563138509,36584.8560846148,13798.8565430871
1075,25204.4569328588,36585.6868296969,13823.2270360207
1076,25171.7371133808,36540.0524836633,13803.4217430982
1077,25125.8589929151,36475.6165325742,13776.1014532559
1078,25094.2439473276,36451.6907474106,13736.7971472447
1079,25081.1670611264,36432.3341435259,13729.999978727
1080,25073.3770113158,36432.5433512762,13714.2106713554
1081,25081.7079439046,36437.3098441428,13726.1060436664
1082,25087.7730770517,36440.634163274,13734.9119908294
1083.5,25083.2110217431,36434.1203026389,13732.3017408473
1083.5,25092.6635861964,36441.7680971679,13743.559075225
1085.5,25100.8337699416,36446.3677031074,13755.2998367759
1085.5,25112.0317626323,36451.1625464014,13772.9009788632
1087,25092.3679580863,36408.197557811,13776.5383583617
1088,25095.930231804,36409.4725357168,13782.3879278912
1089.5,25061.5711829739,36383.013430286,13740.1289356618
1089.5,25032.222351858,36366.8270407401,13697.617662976
