"x.prod","x.sum","y"
22068.5,16650.5,31194.5
6988,6958,5765
7099,6975,4174.5
9610,7651,4410.5
6987,6957,7812
17555,12280,9655
18058,12652,19778
17938,12561,3640
21227,15580,4116.5
7285,7023,266
14560,10139,358
22770,17550,714
18475,12931,2176
21500,15908,908
5982,6758,351
2779,6262,2235
26517,22438,436
7274,7022,11272.5
14096.5,9880.5,28282.5
22941,17731,15225.5
12031.5,8695.5,29286.5
19435,13711,2326
28943,26260,4179.5
19863,14083,17023.5
27909,24534,552
19909,14124,5020.5
16592.5,11592.5,27254
30974,29968,553
25305,20764,21836.5
26953,23051,2734.5
16543,11561,722
19136.5,13459.5,31177.5
14838.5,10306.5,30612
18804,13192,364.5
25112,20500,14859.5
7037,6964,8682
26113.5,21932.5,38144
32278.5,32092.5,35673
10827,8139,7480.5
14627,10179,9364.5
21183,15517,13268.5
25090,20457,23186
25856,21657,6690.5
10592,8050,313
22590,17336,596
30896,29862,1984
24770,20014,3804.5
30204,28771,2980
9073,7497,1235
4771,6555,8503
33091,33870,1270
9326,7570,13208.5
4881.5,6567.5,20665
21206,15554,15686
16498.5,11518.5,30783
24966,20333,4487.5
35435,37385,12817.5
27802,24334,23091.5
34058,35642,2161.5
25695,21392,7536
27467.5,23791.5,32513.5
36240,38223,1900.5
29327,26910,27531
31541,30964,7074
24654,19851,2519.5
29727.5,27801.5,34664.5
25570.5,21199.5,34306.5
28981,26355,1220
33973,35535,28983.5
10089,7842,10090
22068.5,16650.5,31194.5
8398,10065,2537
8502,10093,992.5
11275,10832,1906.5
8397,10064,2767.5
19788,14729,4294.5
20344,15140,15711
20178,15036,2662
23524,18042,3724.5
8707,10153,404.5
16608,12881,486
25116,19600,1008.5
20781,15497,2150
23807,18290,1439
7252,9854,179
3479,9268,210
28722,23889,636.5
8705,10148,6400
16147.5,12700.5,23531.5
25252,19740,10361
13880.5,11780.5,31530
21785,16389,2856.5
30942,27516,3816
22203,16786,11221
29970,25875,551
22248,16832,3427.5
18780.5,13996.5,23879.5
32795,30754,632
27569,22391,13287
29133,24498,1890.5
18750,13968,1111.5
21480.5,16090.5,26484
16925.5,13023.5,26865.5
21169,15804,479
27353,22162,9875.5
8447,10081,4855.5
28347.5,23362.5,34833.5
33850.5,32776.5,38422.5
12583,11293,2716
16682,12910,4605
23489,17992,6844.5
27340,22120,18983.5
28125,23082,4363.5
12354,11201,633.5
24930,19426,670.5
32737,30614,2533.5
26997,21801,4242
32129,29643,3516
10665,10673,1670.5
5876,9608,1686
34605,34403,1556
10958,10738,6712.5
5979.5,9622.5,17383
23511,18022,9792.5
18696.5,13942.5,32769.5
27245,22045,5629.5
36442,37541,10645.5
29878,25703,15483
35394,35875,1343.5
27961,22871,4680
29563.5,25200.5,29412
37066,38284,2001
31293,28228,17123.5
33250,31568,4552
26889,21669,2881.5
31676.5,28958.5,29955.5
27848.5,22729.5,31486
30991,27628,1335
35345,35783,21859.5
11816,11011,6187.5
21276,15660,12517.5
23588,18098,8460.5
7882,8881,30247
16386,12242,25056.5
8005,8909,24714
10653,9677,26408
7880,8880,31539
21834.5,16239.5,30846.5
