trackName;COLOR;StandardizedName;FNAME;GROUP;Target;Auto Use Train (Core)  94;TYPE;Cell_TissueType;PrimaryImmuneCells;Brain; Tcells;Bcells ;NK;Monocytes;Hematop;thymus;CD4 ;CD8 ;Th17;T-reg;Th1 ;Th2;Primary;ImmuneCells
E003-DNase.hotspot.broad.bed;#924965;H1 Cells;E003-DNase.tagAlign.gz;ESC;DNase;1;PrimaryCulture;H1 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E003-DNase.hotspot.fdr0.01.broad.bed;#924965;H1 Cells;E003-DNase.tagAlign.gz;ESC;DNase;1;PrimaryCulture;H1 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E004-DNase.hotspot.broad.bed;#4178AE;H1 BMP4 Derived Mesendoderm Cultured Cells.;E004-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 BMP4 Derived Mesendoderm Cultured Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E004-DNase.hotspot.fdr0.01.broad.bed;#4178AE;H1 BMP4 Derived Mesendoderm Cultured Cells.;E004-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 BMP4 Derived Mesendoderm Cultured Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E005-DNase.hotspot.broad.bed;#4178AE;H1 BMP4 Derived Trophoblast Cultured Cells.;E005-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 BMP4 Derived Trophoblast Cultured Cells;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E005-DNase.hotspot.fdr0.01.broad.bed;#4178AE;H1 BMP4 Derived Trophoblast Cultured Cells.;E005-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 BMP4 Derived Trophoblast Cultured Cells;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E006-DNase.hotspot.broad.bed;#4178AE;H1 Derived Mesenchymal Stem Cells.;E006-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 Derived Mesenchymal Stem Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E006-DNase.hotspot.fdr0.01.broad.bed;#4178AE;H1 Derived Mesenchymal Stem Cells.;E006-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 Derived Mesenchymal Stem Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E007-DNase.hotspot.broad.bed;#4178AE;H1 Derived Neuronal Progenitor Cultured Cells.;E007-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 Derived Neuronal Progenitor Cultured Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E007-DNase.hotspot.fdr0.01.broad.bed;#4178AE;H1 Derived Neuronal Progenitor Cultured Cells.;E007-DNase.tagAlign.gz;ES-deriv;DNase;1;ESCDerived;H1 Derived Neuronal Progenitor Cultured Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E008-DNase.hotspot.broad.bed;#924965;H9 Cells.;E008-DNase.tagAlign.gz;ESC;DNase;1;PrimaryCulture;H9 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E008-DNase.hotspot.fdr0.01.broad.bed;#924965;H9 Cells.;E008-DNase.tagAlign.gz;ESC;DNase;1;PrimaryCulture;H9 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E017-DNase.hotspot.broad.bed;#E41A1C;IMR90 fetal lung fibroblasts Cell Line;E017-DNase.tagAlign.gz;IMR90;DNase;1;CellLine;IMR90 fetal lung fibroblasts Cell Line.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E017-DNase.hotspot.fdr0.01.broad.bed;#E41A1C;IMR90 fetal lung fibroblasts Cell Line;E017-DNase.tagAlign.gz;IMR90;DNase;1;CellLine;IMR90 fetal lung fibroblasts Cell Line.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E021-DNase.hotspot.broad.bed;#69608A;iPS DF 6.9 Cells.;E021-DNase.tagAlign.gz;iPSC;DNase;1;PrimaryCulture;iPS DF 6.9 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E021-DNase.hotspot.fdr0.01.broad.bed;#69608A;iPS DF 6.9 Cells.;E021-DNase.tagAlign.gz;iPSC;DNase;1;PrimaryCulture;iPS DF 6.9 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E022-DNase.hotspot.broad.bed;#69608A;iPS DF 19.11 Cells.;E022-DNase.tagAlign.gz;iPSC;DNase;1;PrimaryCulture;iPS DF 19.11 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E022-DNase.hotspot.fdr0.01.broad.bed;#69608A;iPS DF 19.11 Cells.;E022-DNase.tagAlign.gz;iPSC;DNase;1;PrimaryCulture;iPS DF 19.11 Cells.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
E028-DNase.hotspot.broad.bed;#FF9D0C;Breast variant Human Mammary Epithelial Cells (vHMEC).;E028-DNase.tagAlign.gz;Epithelial;DNase;0;PrimaryCulture;Breast variant Human Mammary Epithelial Cells (vHMEC).;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E028-DNase.hotspot.fdr0.01.broad.bed;#FF9D0C;Breast variant Human Mammary Epithelial Cells (vHMEC).;E028-DNase.tagAlign.gz;Epithelial;DNase;0;PrimaryCulture;Breast variant Human Mammary Epithelial Cells (vHMEC).;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.
E029-DNase.hotspot.broad.bed;#678C69;Primary monocytes fromperipheralblood.;E029-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary monocytes fromperipheralblood.;x;.;.;.;.;x;.;.;.;.;.;.;.;.;x;x
E029-DNase.hotspot.fdr0.01.broad.bed;#678C69;Primary monocytes fromperipheralblood.;E029-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary monocytes fromperipheralblood.;x;.;.;.;.;x;.;.;.;.;.;.;.;.;x;x
E032-DNase.hotspot.broad.bed;#678C69;Primary B cells from peripheral blood.;E032-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary B cells from peripheral blood.;x;.;.;x;.;.;.;.;.;.;.;.;.;.;x;x
E032-DNase.hotspot.fdr0.01.broad.bed;#678C69;Primary B cells from peripheral blood.;E032-DNase.tagAlign.gz;HSC & B-cell;DNase;1;PrimaryCell;Primary B cells from peripheral blood.;x;.;.;x;.;.;.;.;.;.;.;.;.;.;x;x
E033-DNase.hotspot.broad.bed;#55A354;Primary T cells from cord blood.;E033-DNase.tagAlign.gz;Blood & T-cell;DNase;0;PrimaryCell;Primary T cells from cord blood.;x;.;x;.;.;.;.;.;.;.;.;.;.;.;x;x
E033-DNase.hotspot.fdr0.01.broad.bed;#55A354;Primary T cells from cord blood.;E033-DNase.tagAlign.gz;Blood & T-cell;DNase;0;PrimaryCell;Primary T cells from cord blood.;x;.;x;.;.;.;.;.;.;.;.;.;.;.;x;x
E034-DNase.hotspot.broad.bed;#55A354;Primary T cells fromperipheralblood.;E034-DNase.tagAlign.gz;Blood & T-cell;DNase;0;PrimaryCell;Primary T cells fromperipheralblood.;x;.;x;.;.;.;.;.;.;.;.;.;.;.;x;x
